FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728356400000,1380,1,0,up,dn,0.16,-0.02,mv,nm,1.0395,0.0579
1728357600000,1400,1,0,dn,dn,-0.2,-0.17,mv,nm,1.2511,0.6574
1728357900000,1405,1,0,up,up,0.02,0.12,nm,nm,0.1228,0.4657
1728358200000,1410,1,0,up,up,0.01,0.16,nm,nm,0.0625,0.6282
1728358500000,1415,1,0,up,dn,0.09,-0.19,nm,nm,0.7846,0.8925
1728358800000,1420,1,0,up,dn,0.06,-0.42,nm,mv,0.5124,2.1377
1728359100000,1425,1,0,dn,dn,-0.34,-0.27,mv,mv,3.0506,1.4189
1728359400000,1430,1,0,dn,up,-0.14,0.07,mv,nm,0.8969,0.4004
1728359700000,1435,1,0,up,up,0.21,0.34,mv,mv,1.4137,1.7233
1728360000000,0,1,0,dn,up,0,0.13,nm,nm,0,0.6269
1728360300000,5,1,0,up,up,0.13,0.01,mv,nm,0.7332,0.0512
1728360900000,15,1,0,dn,dn,0,-0.12,nm,nm,0,0.5727
1728361200000,20,1,0,dn,up,-0.12,0.24,mv,mv,0.6692,1.1421
1728362100000,35,1,0,dn,up,0,0.19,nm,mv,0,0.9333
1728362400000,40,1,0,up,dn,0.36,-0.22,mv,mv,3.3983,1.0769
1728363300000,55,1,0,dn,dn,-0.17,-0.57,mv,mv,1.1206,2.767
1728363600000,60,2,0,dn,dn,-0.41,-0.39,mv,mv,2.3468,2.0892
1728363900000,65,2,0,up,up,0.01,0.07,nm,nm,0.0432,0.3636
1728364200000,70,2,0,up,up,0.01,0.03,nm,nm,0.0431,0.1307
1728364500000,75,2,0,up,up,0.05,0.1,nm,nm,0.2165,0.4126
1728364800000,80,2,0,dn,up,-0.03,0.17,nm,nm,0.1288,0.6971
1728365100000,85,2,0,up,up,0.08,0.03,nm,nm,0.5026,0.1227
1728365700000,95,2,0,up,dn,0.12,-0.16,mv,nm,0.7256,0.6522
1728366000000,100,2,0,dn,dn,-0.17,-0.2,mv,mv,3.4229,0.8084
1728366300000,105,2,0,dn,dn,-0.11,-0.05,nm,nm,1.1748,0.2054
1728366600000,110,2,0,up,dn,0.08,-0.19,nm,mv,0.771,0.7835
1728366900000,115,2,0,dn,dn,-0.02,-0.32,nm,mv,0.1866,1.4016
1728368100000,135,2,0,dn,up,-0.25,0.12,mv,nm,2.3392,0.5431
1728368400000,140,2,0,dn,up,-0.05,0.15,nm,nm,0.3793,0.6721
1728368700000,145,2,0,up,dn,0.42,-0.06,mv,nm,3.953,0.2818
1728369000000,150,2,0,dn,dn,-0.22,-0.08,mv,nm,1.0579,0.3767
1728369300000,155,2,0,dn,dn,-0.26,-0.14,mv,mv,1.1699,0.6432
1728370800000,180,2,0,up,dn,0.4,-0.05,mv,nm,1.696,0.2302
1728371100000,185,2,0,dn,dn,-0.28,-0.4,mv,mv,0.9537,1.9534
1728371400000,190,2,0,dn,up,-0.17,0.22,mv,mv,0.5702,1.1305
1728371700000,195,2,0,up,up,0.05,0.55,nm,mv,0.164,2.8584
1728372000000,200,2,0,up,up,0.34,0.89,mv,mv,1.413,5.1914
1728372300000,205,2,0,up,up,0.16,0.96,mv,mv,0.583,5.7744
1728372600000,210,2,0,up,up,0.39,0.48,mv,mv,1.5719,2.245
1728372900000,215,2,0,up,dn,0.41,-0.03,mv,nm,1.6667,0.1006
1728373200000,220,2,0,dn,dn,-0.32,-0.44,mv,mv,1.5351,1.2013
1728373500000,225,2,0,dn,up,-0.12,0.05,mv,nm,0.471,0.1325
1728373800000,230,2,0,dn,dn,0,-0.08,nm,nm,0,0.2116
1728374100000,235,2,0,up,dn,0.17,-0.08,mv,nm,0.6444,0.2032
1728374400000,240,2,0,dn,up,-0.25,0.11,mv,nm,0.9459,0.2836
1728374700000,245,2,0,dn,dn,0,0,nm,nm,0,0
1728375000000,250,2,0,up,up,0.36,0.04,mv,nm,2.1833,0.1039
1728375300000,255,2,0,dn,dn,-0.36,-0.38,mv,mv,1.8342,1.0229
1728375600000,260,2,0,up,up,0.04,0.34,nm,mv,0.1657,0.9127
1728375900000,265,2,0,dn,up,-0.06,0.39,nm,mv,0.2477,1.0462
1728376200000,270,2,0,up,up,0.36,0.56,mv,mv,1.5718,1.4444
1728376500000,275,2,0,up,up,0.09,0.22,nm,mv,0.3601,0.565
1728377100000,285,2,0,up,up,0.11,0.75,nm,mv,0.4422,1.9272
1728377400000,290,2,0,up,up,0.02,0.65,nm,mv,0.0927,1.6357
1728377700000,295,2,0,up,up,0.62,0.46,mv,mv,4.729,1.2367
1728378000000,300,2,0,up,up,0.01,0.43,nm,mv,0.0432,1.0971
1728378300000,305,2,0,dn,up,-0.17,0.49,mv,mv,0.7724,1.2344
1728378600000,310,2,0,up,up,0.59,0.8,mv,mv,2.419,2.1652
