Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 10:20 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
42;_trend_(1,716,560,700,000,1.0005,0.5004,0.3339,0.1671,0.0835,1.0001,0.5,0.3335,0.1673,0.0833,94.6667,27.6897,3.959,0.7229,-0.0005,0.0004);Buy to Open;1;50.0;$5,309.00;5/24/24, 10:30 AM;;$5,000.00;0.0;
43;_trend_(SellClose);Sell to Close;-1;-50.0;$5,313.00;5/24/24, 10:35 AM;$125.00;$5,187.50;-50.0;
44;_trend_(1,716,561,000,000,1,0.5002,0.3336,0.1669,0.0834,0.9995,0.4997,0.3334,0.1669,0.0834,94.6667,27.758,7.4776,3.5186,-0.0004,0.0002);Buy to Open;1;50.0;$5,310.50;5/24/24, 10:35 AM;;$5,125.00;0.0;
45;_trend_(SellClose);Sell to Close;-1;-50.0;$5,312.50;5/24/24, 10:40 AM;$212.50;$5,462.50;-50.0;
46;_trend_(1,716,561,300,000,0.9994,0.4997,0.3333,0.1668,0.0834,0.9994,0.4993,0.3329,0.1667,0.0835,77.3333,9.3501,1.2024,-6.2752,0.0001,0.0002);Buy to Open;1;50.0;$5,308.25;5/24/24, 10:40 AM;;$5,337.50;0.0;
47;_trend_(SellClose);Sell to Close;-1;-50.0;$5,310.00;5/24/24, 10:45 AM;$275.00;$5,300.00;-50.0;
48;_trend_(1,716,561,600,000,0.9993,0.4994,0.3329,0.1667,0.0833,1,0.4991,0.3324,0.1668,0.0833,58.6667,-7.0052,-2.2973,-3.4997,-0.0003,0.0001);Buy to Open;1;50.0;$5,304.50;5/24/24, 10:45 AM;;$5,612.50;0.0;
49;_trend_(SellClose);Sell to Close;-1;-50.0;$5,311.25;5/24/24, 10:50 AM;$337.50;$5,487.50;-50.0;
50;_trend_(1,716,561,900,000,1.0009,0.5001,0.3332,0.1667,0.0835,1.0016,0.5004,0.333,0.1665,0.0835,85.3333,16.0167,-4.7223,-2.425,0.0002,0.0003);Buy to Open;1;50.0;$5,304.50;5/24/24, 10:50 AM;;$5,950.00;0.0;
51;_trend_(SellClose);Sell to Close;-1;-50.0;$5,314.00;5/24/24, 10:55 AM;$187.50;$5,812.50;-50.0;
52;_trend_(1,716,562,200,000,1.0006,0.5008,0.3336,0.1668,0.0836,0.9996,0.5014,0.3337,0.1663,0.0837,98.6486,21.6486,0.7074,5.4297,-0.0005,-0);Buy to Open;1;50.0;$5,310.25;5/24/24, 10:55 AM;;$6,137.50;0.0;
53;_trend_(SellClose);Sell to Close;-1;-50.0;$5,317.50;5/24/24, 11:00 AM;$187.50;$5,837.50;-50.0;
54;_trend_(1,716,562,500,000,1.0006,0.5006,0.334,0.1668,0.0836,1,0.5004,0.3344,0.1664,0.0837,96.1538,14.2748,0.2151,-0.4923,0.0004,-0.0001);Buy to Open;1;50.0;$5,313.75;5/24/24, 11:00 AM;;$6,325.00;0.0;
55;_trend_(SellClose);Sell to Close;-1;-50.0;$5,324.00;5/24/24, 11:05 AM;$450.00;$6,287.50;-50.0;
56;_trend_(1,716,562,800,000,1.0013,0.5009,0.3341,0.167,0.0836,1.0007,0.5002,0.3342,0.1668,0.0836,97.7273,13.2042,-5.1373,-5.3524,0.0003,0.0001);Buy to Open;1;50.0;$5,315.00;5/24/24, 11:05 AM;;$6,775.00;0.0;
57;_trend_(SellClose);Sell to Close;-1;-50.0;$5,325.25;5/24/24, 11:10 AM;$137.50;$6,600.00;-50.0;
58;_trend_(1,716,563,100,000,1.0002,0.5008,0.334,0.1672,0.0837,0.999,0.5002,0.3337,0.167,0.0836,97.7273,10.6308,0.7515,5.8888,-0,-0);Buy to Open;1;50.0;$5,322.50;5/24/24, 11:10 AM;;$6,912.50;0.0;
59;_trend_(SellClose);Sell to Close;-1;-50.0;$5,329.00;5/24/24, 11:15 AM;$237.50;$7,025.00;-50.0;
60;_trend_(1,716,563,400,000,1.0008,0.5005,0.3341,0.1674,0.0837,1.0005,0.4996,0.3334,0.1673,0.0837,99,8.5371,-0.8758,-1.6273,-0.0002,0.0006);Buy to Open;1;50.0;$5,324.25;5/24/24, 11:15 AM;;$7,150.00;0.0;
61;_trend_(SellClose);Sell to Close;-1;-50.0;$5,329.25;5/24/24, 11:20 AM;$187.50;$7,300.00;-50.0;
62;_trend_(1,716,563,700,000,0.9996,0.5002,0.3335,0.1672,0.0836,0.9989,0.4994,0.3327,0.1671,0.0835,89.899,1.9725,-0.1698,0.706,-0.0002,0.0003);Buy to Open;1;50.0;$5,325.50;5/24/24, 11:20 AM;;$7,337.50;0.0;
63;_trend_(SellClose);Sell to Close;-1;-50.0;$5,327.00;5/24/24, 11:25 AM;$125.00;$7,512.50;-50.0;
64;_trend_(1,716,564,000,000,0.9999,0.4998,0.3334,0.1671,0.0836,1.0003,0.4993,0.3327,0.1669,0.0834,87.8788,0.7481,3.6035,3.7732,-0.0001,0);Buy to Open;1;50.0;$5,324.50;5/24/24, 11:25 AM;;$7,462.50;0.0;
65;_trend_(SellClose);Sell to Close;-1;-50.0;$5,326.25;5/24/24, 11:30 AM;$162.50;$7,437.50;-50.0;
66;_trend_(1,716,564,300,000,0.9995,0.4997,0.333,0.1669,0.0835,0.9996,0.4995,0.3323,0.1667,0.0834,76.7677,-6.2253,1.4243,-2.1792,0.0004,-0.0002);Buy to Open;1;50.0;$5,323.00;5/24/24, 11:30 AM;;$7,625.00;0.0;
67;_trend_(SellClose);Sell to Close;-1;-50.0;$5,327.25;5/24/24, 11:35 AM;$187.50;$8,100.00;-50.0;
68;_trend_(1,716,564,600,000,1.0006,0.5,0.3333,0.1668,0.0836,1.0011,0.5003,0.3331,0.1664,0.0834,89.899,3.2881,0.8025,-0.6218,-0.0002,0.0001);Buy to Open;1;50.0;$5,323.50;5/24/24, 11:35 AM;;$7,812.50;0.0;
69;_trend_(SellClose);Sell to Close;-1;-50.0;$5,327.00;5/24/24, 11:40 AM;$487.50;$8,075.00;-50.0;
70;_trend_(1,716,564,900,000,0.9983,0.4995,0.3328,0.1664,0.0835,0.9977,0.4998,0.3327,0.166,0.0834,53.5354,-21.7174,-14.1683,-14.9708,0,0.0003);Buy to Open;1;50.0;$5,317.25;5/24/24, 11:40 AM;;$8,300.00;0.0;
71;_trend_(SellClose);Sell to Close;-1;-50.0;$5,322.75;5/24/24, 11:45 AM;$250.00;$8,487.50;-50.0;
72;_trend_(1,716,565,200,000,1.0008,0.4995,0.3332,0.1664,0.0836,1.0024,0.4995,0.3336,0.1657,0.0836,69.697,-11.8072,-1.157,13.0113,-0.0001,0.0003);Buy to Open;1;50.0;$5,317.75;5/24/24, 11:45 AM;;$8,550.00;0.0;
73;_trend_(SellClose);Sell to Close;-1;-50.0;$5,321.75;5/24/24, 11:50 AM;$200.00;$8,587.50;-50.0;
74;_trend_(1,716,565,500,000,0.9995,0.5001,0.3328,0.1664,0.0835,0.9987,0.5007,0.3328,0.1659,0.0833,46.0526,-18.4689,1.3413,2.4984,0.0002,-0.0001);Buy to Open;1;50.0;$5,317.75;5/24/24, 11:50 AM;;$8,750.00;0.0;
75;_trend_(SellClose);Sell to Close;-1;-50.0;$5,321.25;5/24/24, 11:55 AM;$250.00;$8,775.00;-50.0;
