Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/9/24, 1:05 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
53;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.25;10/6/24, 8:15 PM;$100.00;$3,150.00;-50.0;
54;_calendar_(1,728,259,800,000|1,210|1|0|dn|nm);Buy to Open;1;50.0;$5,796.25;10/6/24, 8:15 PM;;$3,175.00;0.0;
55;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.00;10/6/24, 8:20 PM;$112.50;$3,275.00;-50.0;
56;_calendar_(1,728,260,100,000|1,215|1|0|up|nm);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:20 PM;;$3,287.50;0.0;
57;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 8:25 PM;$100.00;$3,375.00;-50.0;
58;_calendar_(1,728,260,400,000|1,220|1|0|dn|nm);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:25 PM;;$3,387.50;0.0;
59;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.25;10/6/24, 8:30 PM;$75.00;$3,450.00;-50.0;
60;_calendar_(1,728,260,700,000|1,225|1|0|dn|nm);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:30 PM;;$3,462.50;0.0;
61;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 8:35 PM;$112.50;$3,512.50;-50.0;
62;_calendar_(1,728,261,000,000|1,230|1|0|dn|nm);Buy to Open;1;50.0;$5,795.50;10/6/24, 8:35 PM;;$3,575.00;0.0;
63;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.50;10/6/24, 8:40 PM;$100.00;$3,562.50;-50.0;
64;_calendar_(1,728,261,300,000|1,235|1|0|up|nm);Buy to Open;1;50.0;$5,795.50;10/6/24, 8:40 PM;;$3,675.00;0.0;
65;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.00;10/6/24, 8:45 PM;$62.50;$3,787.50;-50.0;
66;_calendar_(1,728,261,600,000|1,240|1|0|up|nm);Buy to Open;1;50.0;$5,796.75;10/6/24, 8:45 PM;;$3,737.50;0.0;
67;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.50;10/6/24, 8:50 PM;$112.50;$3,775.00;-50.0;
68;_calendar_(1,728,261,900,000|1,245|1|0|dn|mv);Buy to Open;1;50.0;$5,795.25;10/6/24, 8:50 PM;;$3,850.00;0.0;
69;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.00;10/6/24, 8:55 PM;$62.50;$3,825.00;-50.0;
70;_calendar_(1,728,262,200,000|1,250|1|0|up|mv);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:55 PM;;$3,912.50;0.0;
71;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.50;10/6/24, 9:00 PM;$87.50;$3,862.50;-50.0;
72;_calendar_(1,728,262,500,000|1,255|1|0|up|mv);Buy to Open;1;50.0;$5,796.75;10/6/24, 9:00 PM;;$4,000.00;0.0;
73;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,799.75;10/6/24, 9:05 PM;$150.00;$4,050.00;-50.0;
74;_calendar_(1,728,262,800,000|1,260|1|0|up|mv);Buy to Open;1;50.0;$5,796.75;10/6/24, 9:05 PM;;$4,150.00;0.0;
75;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,800.75;10/6/24, 9:10 PM;$100.00;$4,175.00;-50.0;
76;_calendar_(1,728,263,100,000|1,265|1|0|dn|mv);Buy to Open;1;50.0;$5,798.75;10/6/24, 9:10 PM;;$4,250.00;0.0;
77;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,800.50;10/6/24, 9:15 PM;$112.50;$4,175.00;-50.0;
78;_calendar_(1,728,263,400,000|1,270|1|0|up|nm);Buy to Open;1;50.0;$5,798.25;10/6/24, 9:15 PM;;$4,362.50;0.0;
79;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,802.00;10/6/24, 9:20 PM;$100.00;$4,337.50;-50.0;
80;_calendar_(1,728,263,700,000|1,275|1|0|up|nm);Buy to Open;1;50.0;$5,800.00;10/6/24, 9:20 PM;;$4,462.50;0.0;
81;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 9:25 PM;$162.50;$4,650.00;-50.0;
82;_calendar_(1,728,264,000,000|1,280|1|0|up|mv);Buy to Open;1;50.0;$5,801.25;10/6/24, 9:25 PM;;$4,625.00;0.0;
83;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,802.50;10/6/24, 9:30 PM;$112.50;$4,562.50;-50.0;
84;_calendar_(1,728,264,300,000|1,285|1|0|dn|mv);Buy to Open;1;50.0;$5,800.25;10/6/24, 9:30 PM;;$4,737.50;0.0;
85;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 9:35 PM;$175.00;$4,725.00;-50.0;
86;_calendar_(1,728,264,600,000|1,290|1|0|up|mv);Buy to Open;1;50.0;$5,801.00;10/6/24, 9:35 PM;;$4,912.50;0.0;
87;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,805.50;10/6/24, 9:40 PM;$100.00;$5,012.50;-50.0;
88;_calendar_(1,728,264,900,000|1,295|1|0|up|mv);Buy to Open;1;50.0;$5,803.50;10/6/24, 9:40 PM;;$5,012.50;0.0;
89;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,805.75;10/6/24, 9:45 PM;$125.00;$5,375.00;-50.0;
90;_calendar_(1,728,265,200,000|1,300|1|0|dn|mv);Buy to Open;1;50.0;$5,803.25;10/6/24, 9:45 PM;;$5,137.50;0.0;
91;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,804.25;10/6/24, 9:50 PM;$312.50;$5,475.00;-50.0;
92;_calendar_(1,728,265,500,000|1,305|1|0|dn|nm);Buy to Open;1;50.0;$5,798.00;10/6/24, 9:50 PM;;$5,450.00;0.0;
93;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,799.25;10/6/24, 9:55 PM;$175.00;$5,525.00;-50.0;
94;_calendar_(1,728,265,800,000|1,310|1|0|dn|mv);Buy to Open;1;50.0;$5,795.75;10/6/24, 9:55 PM;;$5,625.00;0.0;
95;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,799.25;10/6/24, 10:00 PM;$112.50;$5,600.00;-50.0;
96;_calendar_(1,728,266,100,000|1,315|1|0|up|nm);Buy to Open;1;50.0;$5,797.00;10/6/24, 10:00 PM;;$5,737.50;0.0;
97;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,800.25;10/6/24, 10:05 PM;$137.50;$5,725.00;-50.0;
98;_calendar_(1,728,266,400,000|1,320|1|0|up|nm);Buy to Open;1;50.0;$5,797.50;10/6/24, 10:05 PM;;$5,875.00;0.0;
99;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,801.25;10/6/24, 10:10 PM;$87.50;$6,050.00;-50.0;
100;_calendar_(1,728,266,700,000|1,325|1|0|up|mv);Buy to Open;1;50.0;$5,799.50;10/6/24, 10:10 PM;;$5,962.50;0.0;
101;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,801.50;10/6/24, 10:15 PM;$200.00;$6,112.50;-50.0;
102;_calendar_(1,728,267,000,000|1,330|1|0|dn|nm);Buy to Open;1;50.0;$5,797.50;10/6/24, 10:15 PM;;$6,162.50;0.0;
103;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,799.25;10/6/24, 10:20 PM;$125.00;$6,250.00;-50.0;
104;_calendar_(1,728,267,300,000|1,335|1|0|up|nm);Buy to Open;1;50.0;$5,796.75;10/6/24, 10:20 PM;;$6,287.50;0.0;
105;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.75;10/6/24, 10:25 PM;$75.00;$6,387.50;-50.0;
106;_calendar_(1,728,267,600,000|1,340|1|0|dn|nm);Buy to Open;1;50.0;$5,797.25;10/6/24, 10:25 PM;;$6,362.50;0.0;
107;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 10:30 PM;$75.00;$6,312.50;-50.0;
108;_calendar_(1,728,267,900,000|1,345|1|0|dn|nm);Buy to Open;1;50.0;$5,796.25;10/6/24, 10:30 PM;;$6,437.50;0.0;
109;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,799.00;10/6/24, 10:35 PM;$100.00;$6,525.00;-50.0;
110;_calendar_(1,728,268,200,000|1,350|1|0|up|nm);Buy to Open;1;50.0;$5,797.00;10/6/24, 10:35 PM;;$6,537.50;0.0;
111;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.75;10/6/24, 10:40 PM;$100.00;$6,650.00;-50.0;
112;_calendar_(1,728,268,500,000|1,355|1|0|dn|nm);Buy to Open;1;50.0;$5,796.75;10/6/24, 10:40 PM;;$6,637.50;0.0;
113;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 10:45 PM;$75.00;$6,637.50;-50.0;
114;_calendar_(1,728,268,800,000|1,360|1|0|dn|nm);Buy to Open;1;50.0;$5,796.25;10/6/24, 10:45 PM;;$6,712.50;0.0;
115;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 10:50 PM;$100.00;$6,750.00;-50.0;
116;_calendar_(1,728,269,100,000|1,365|1|0|up|nm);Buy to Open;1;50.0;$5,795.75;10/6/24, 10:50 PM;;$6,812.50;0.0;
117;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 10:55 PM;$62.50;$6,875.00;-50.0;
118;_calendar_(1,728,269,400,000|1,370|1|0|dn|nm);Buy to Open;1;50.0;$5,796.50;10/6/24, 10:55 PM;;$6,875.00;0.0;
119;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.50;10/6/24, 11:00 PM;$87.50;$6,862.50;-50.0;
120;_calendar_(1,728,269,700,000|1,375|1|0|dn|nm);Buy to Open;1;50.0;$5,795.75;10/6/24, 11:00 PM;;$6,962.50;0.0;
121;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.25;10/6/24, 11:05 PM;$100.00;$7,050.00;-50.0;
122;_calendar_(1,728,270,000,000|1,380|1|0|up|mv);Buy to Open;1;50.0;$5,796.25;10/6/24, 11:05 PM;;$7,062.50;0.0;
123;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.50;10/6/24, 11:10 PM;$112.50;$7,125.00;-50.0;
124;_calendar_(1,728,270,300,000|1,385|1|0|dn|mv);Buy to Open;1;50.0;$5,796.25;10/6/24, 11:10 PM;;$7,175.00;0.0;
125;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.00;10/6/24, 11:15 PM;$75.00;$7,262.50;-50.0;
126;_calendar_(1,728,270,600,000|1,390|1|0|up|mv);Buy to Open;1;50.0;$5,796.50;10/6/24, 11:15 PM;;$7,250.00;0.0;
127;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.00;10/6/24, 11:20 PM;$62.50;$7,362.50;-50.0;
128;_calendar_(1,728,270,900,000|1,395|1|0|dn|mv);Buy to Open;1;50.0;$5,795.75;10/6/24, 11:20 PM;;$7,312.50;0.0;
129;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.00;10/6/24, 11:25 PM;$87.50;$7,362.50;-50.0;
130;_calendar_(1,728,271,200,000|1,400|1|0|dn|nm);Buy to Open;1;50.0;$5,794.25;10/6/24, 11:25 PM;;$7,400.00;0.0;
131;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,795.75;10/6/24, 11:30 PM;$62.50;$7,462.50;-50.0;
132;_calendar_(1,728,271,500,000|1,405|1|0|up|nm);Buy to Open;1;50.0;$5,794.50;10/6/24, 11:30 PM;;$7,462.50;0.0;
133;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,795.50;10/6/24, 11:35 PM;$100.00;$7,475.00;-50.0;
134;_calendar_(1,728,271,800,000|1,410|1|0|dn|nm);Buy to Open;1;50.0;$5,793.50;10/6/24, 11:35 PM;;$7,562.50;0.0;
135;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,795.50;10/6/24, 11:40 PM;$100.00;$7,562.50;-50.0;
136;_calendar_(1,728,272,100,000|1,415|1|0|up|nm);Buy to Open;1;50.0;$5,793.50;10/6/24, 11:40 PM;;$7,662.50;0.0;
137;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,795.75;10/6/24, 11:45 PM;$62.50;$7,712.50;-50.0;
138;_calendar_(1,728,272,400,000|1,420|1|0|up|nm);Buy to Open;1;50.0;$5,794.50;10/6/24, 11:45 PM;;$7,725.00;0.0;
139;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.00;10/6/24, 11:50 PM;$62.50;$7,750.00;-50.0;
140;_calendar_(1,728,272,700,000|1,425|1|0|dn|mv);Buy to Open;1;50.0;$5,794.75;10/6/24, 11:50 PM;;$7,787.50;0.0;
141;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.00;10/6/24, 11:55 PM;$62.50;$7,787.50;-50.0;
142;_calendar_(1,728,273,000,000|1,430|1|0|up|nm);Buy to Open;1;50.0;$5,794.75;10/6/24, 11:55 PM;;$7,850.00;0.0;
143;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.75;10/7/24, 12:00 AM;$75.00;$7,862.50;-50.0;
144;_calendar_(1,728,273,300,000|1,435|1|0|up|nm);Buy to Open;1;50.0;$5,795.25;10/7/24, 12:00 AM;;$7,925.00;0.0;
145;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.75;10/7/24, 12:05 AM;$62.50;$7,937.50;-50.0;
146;_calendar_(1,728,273,600,000|0|1|0|up|nm);Buy to Open;1;50.0;$5,795.50;10/7/24, 12:05 AM;;$7,987.50;0.0;
147;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.25;10/7/24, 12:10 AM;$37.50;$8,050.00;-50.0;
148;_calendar_(1,728,273,900,000|5|1|0|dn|nm);Buy to Open;1;50.0;$5,796.50;10/7/24, 12:10 AM;;$8,025.00;0.0;
149;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.75;10/7/24, 12:15 AM;$62.50;$8,050.00;-50.0;
150;_calendar_(1,728,274,200,000|10|1|0|dn|nm);Buy to Open;1;50.0;$5,795.50;10/7/24, 12:15 AM;;$8,087.50;0.0;
151;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.50;10/7/24, 12:20 AM;$62.50;$8,037.50;-50.0;
152;_calendar_(1,728,274,500,000|15|1|0|up|mv);Buy to Open;1;50.0;$5,795.25;10/7/24, 12:20 AM;;$8,150.00;0.0;
153;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.25;10/7/24, 12:25 AM;$112.50;$8,200.00;-50.0;
154;_calendar_(1,728,274,800,000|20|1|0|up|nm);Buy to Open;1;50.0;$5,796.00;10/7/24, 12:25 AM;;$8,262.50;0.0;
155;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/7/24, 12:30 AM;$50.00;$8,225.00;-50.0;
156;_calendar_(1,728,275,100,000|25|1|0|dn|nm);Buy to Open;1;50.0;$5,796.75;10/7/24, 12:30 AM;;$8,312.50;0.0;
157;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.75;10/7/24, 12:35 AM;$62.50;$8,350.00;-50.0;
158;_calendar_(1,728,275,400,000|30|1|0|up|mv);Buy to Open;1;50.0;$5,797.50;10/7/24, 12:35 AM;;$8,375.00;0.0;
159;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,799.00;10/7/24, 12:40 AM;$62.50;$8,400.00;-50.0;
160;_calendar_(1,728,275,700,000|35|1|0|dn|mv);Buy to Open;1;50.0;$5,797.75;10/7/24, 12:40 AM;;$8,437.50;0.0;
161;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.50;10/7/24, 12:45 AM;$62.50;$8,512.50;-50.0;
162;_calendar_(1,728,276,000,000|40|1|0|up|mv);Buy to Open;1;50.0;$5,797.25;10/7/24, 12:45 AM;;$8,500.00;0.0;
163;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,798.50;10/7/24, 12:50 AM;$87.50;$8,650.00;-50.0;
164;_calendar_(1,728,276,300,000|45|1|0|dn|nm);Buy to Open;1;50.0;$5,796.75;10/7/24, 12:50 AM;;$8,587.50;0.0;
165;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,797.00;10/7/24, 12:55 AM;$112.50;$8,650.00;-50.0;
166;_calendar_(1,728,276,600,000|50|1|0|dn|nm);Buy to Open;1;50.0;$5,794.75;10/7/24, 12:55 AM;;$8,700.00;0.0;
167;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.00;10/7/24, 1:00 AM;$37.50;$8,687.50;-50.0;
168;_calendar_(1,728,276,900,000|55|1|0|dn|nm);Buy to Open;1;50.0;$5,795.25;10/7/24, 1:00 AM;;$8,737.50;0.0;
169;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,796.50;10/7/24, 1:05 AM;$50.00;$8,825.00;-50.0;
170;_calendar_(1,728,277,200,000|60|1|0|up|nm);Buy to Open;1;50.0;$5,795.50;10/7/24, 1:05 AM;;$8,787.50;0.0;
