FT,ToD,DoW,MO,DIR,MOVE
1728358500000,1415,2,0,up,mv
1728358800000,1420,2,0,up,mv
1728359100000,1425,2,0,dn,nm
1728359400000,1430,2,0,dn,nm
1728359700000,1435,2,0,dn,nm
1728360000000,0,2,0,up,nm
1728360300000,5,2,0,up,nm
1728360600000,10,2,0,dn,nm
1728360900000,15,2,0,up,nm
1728361200000,20,2,0,dn,nm
1728361500000,25,2,0,dn,nm
1728361800000,30,2,0,up,mv
1728362100000,35,2,0,dn,mv
1728362400000,40,2,0,up,mv
1728362700000,45,2,0,up,mv
1728363000000,50,2,0,up,mv
1728363300000,55,2,0,dn,mv
1728363600000,60,2,0,dn,mv
1728363900000,65,2,0,dn,nm
1728364200000,70,2,0,up,nm
1728364500000,75,2,0,up,nm
1728364800000,80,2,0,dn,mv
1728365100000,85,2,0,dn,mv
1728365400000,90,2,0,up,nm
1728365700000,95,2,0,up,mv
1728366000000,100,2,0,up,mv
1728366300000,105,2,0,dn,nm
1728366600000,110,2,0,dn,mv
1728366900000,115,2,0,up,nm
1728367200000,120,2,0,up,mv
1728367500000,125,2,0,dn,mv
1728367800000,130,2,0,dn,mv
1728368100000,135,2,0,dn,mv
1728368400000,140,2,0,dn,mv
1728368700000,145,2,0,up,mv
1728369000000,150,2,0,up,nm
1728369300000,155,2,0,up,nm
1728369600000,160,2,0,up,nm
1728369900000,165,2,0,dn,mv
1728370200000,170,2,0,up,mv
1728370500000,175,2,0,up,mv
1728370800000,180,2,0,dn,mv
1728371100000,185,2,0,up,mv
1728371400000,190,2,0,dn,nm
1728371700000,195,2,0,dn,mv
1728372000000,200,2,0,up,mv
1728372300000,205,2,0,up,mv
1728372600000,210,2,0,up,mv
1728372900000,215,2,0,up,nm
1728373200000,220,2,0,up,mv
1728373500000,225,2,0,dn,nm
1728373800000,230,2,0,dn,nm
1728374100000,235,2,0,up,nm
1728374400000,240,2,0,up,mv
1728374700000,245,2,0,dn,nm
1728375000000,250,2,0,dn,nm
1728375300000,255,2,0,up,mv
1728375600000,260,2,0,dn,mv
1728375900000,265,2,0,dn,mv
1728376200000,270,2,0,up,mv
1728376500000,275,2,0,up,mv
1728376800000,280,2,0,dn,mv
1728377100000,285,2,0,up,mv
1728377400000,290,2,0,up,mv
1728377700000,295,2,0,dn,mv
1728378000000,300,2,0,up,mv
1728378300000,305,2,0,dn,mv
1728378600000,310,2,0,dn,mv
1728378900000,315,2,0,up,mv
1728379200000,320,2,0,up,nm
1728379500000,325,2,0,dn,nm
1728379800000,330,2,0,dn,nm
1728380100000,335,2,0,dn,mv
1728380400000,340,2,0,up,nm
1728380700000,345,2,0,dn,nm
1728381000000,350,2,0,up,nm
1728381300000,355,2,0,dn,mv
1728381600000,360,2,0,up,nm
1728381900000,365,2,0,up,nm
1728382200000,370,2,0,dn,nm
1728382500000,375,2,0,up,mv
1728382800000,380,2,0,dn,mv
1728383100000,385,2,0,up,mv
1728383400000,390,2,0,dn,mv
1728383700000,395,2,0,dn,mv
1728384000000,400,2,0,dn,mv
1728384300000,405,2,0,up,nm
1728384600000,410,2,0,up,nm
1728384900000,415,2,0,up,mv
1728385200000,420,2,0,dn,nm
1728385500000,425,2,0,dn,mv
1728385800000,430,2,0,dn,nm
1728386100000,435,2,0,up,mv
1728386400000,440,2,0,dn,mv
1728386700000,445,2,0,up,nm
1728387000000,450,2,0,up,nm
1728387300000,455,2,0,dn,nm
1728387600000,460,2,0,dn,nm
1728387900000,465,2,0,up,nm
1728388200000,470,2,0,dn,mv
1728388500000,475,2,0,dn,mv
1728388800000,480,2,0,dn,mv
1728389100000,485,2,0,dn,nm
1728389400000,490,2,0,dn,nm
1728389700000,495,2,0,dn,nm
1728390000000,500,2,0,dn,nm
1728390300000,505,2,0,dn,nm
