FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728294000000,340,1,0,dn,up,-1,1.75,nm,nm,0.4496,0.4339
1728294300000,345,1,0,up,up,1.5,2.5,mv,mv,0.6643,0.6144
1728294600000,350,1,0,up,dn,1.25,-1.5,nm,nm,0.6339,0.3674
1728294900000,355,1,0,dn,dn,-0.25,-1.75,nm,nm,0.1493,0.4186
1728295200000,360,1,0,dn,up,-2.5,1.5,mv,nm,2.0604,0.3681
1728295500000,365,1,0,up,up,1,3.25,nm,mv,0.7236,0.7977
1728295800000,370,1,0,up,up,3,2.75,mv,mv,2.1104,0.6748
1728296100000,375,1,0,dn,up,-0.75,1.5,nm,nm,0.4397,0.372
1728296400000,380,1,0,up,up,0.5,2.25,nm,mv,0.2893,0.5384
1728296700000,385,1,0,up,up,1.75,2,mv,nm,1.0409,0.4773
1728297000000,390,1,0,dn,dn,0,-0.75,nm,nm,0,0.2049
1728297300000,395,1,0,up,up,0.25,0.25,nm,nm,0.206,0.0915
1728297600000,400,1,0,dn,up,-1,0.5,nm,nm,0.8086,0.2171
1728297900000,405,1,0,up,dn,1,-0.75,nm,nm,1.113,0.3243
1728298200000,410,1,0,up,dn,0.5,-1.25,nm,nm,0.5883,0.556
1728298500000,415,1,0,dn,dn,-2.25,-1.25,mv,nm,2.6476,0.6831
1728298800000,420,1,0,up,dn,0.5,0,nm,nm,0.4629,0
1728299100000,425,1,0,up,up,0.5,1,nm,nm,0.4485,0.562
1728299400000,430,1,0,dn,dn,-1,0,nm,nm,0.8817,0
1728299700000,435,1,0,up,dn,1.5,-0.5,mv,nm,1.3225,0.3162
1728300000000,440,1,0,dn,up,-0.5,0.25,nm,nm,0.4071,0.1601
1728300300000,445,1,0,dn,up,-1.5,1,mv,nm,1.2384,0.6472
1728300600000,450,1,0,up,up,2.25,2.75,mv,mv,2.2119,1.8472
1728300900000,455,1,0,up,up,0.25,2.25,nm,mv,0.1863,1.5882
1728301200000,460,1,0,up,up,0.25,2,nm,mv,0.1871,1.5267
1728301500000,465,1,0,up,up,1.75,1.25,mv,nm,1.4215,0.9031
1728301800000,470,1,0,dn,up,0,1.25,nm,nm,0,0.9623
1728302100000,475,1,0,dn,up,-0.5,2,nm,mv,0.4082,1.6099
1728302400000,480,1,0,up,up,1.75,2.25,mv,mv,1.7748,1.8236
1728302700000,485,1,0,up,up,0.75,1,nm,nm,0.8701,0.8474
1728303000000,490,1,0,dn,dn,-0.25,-0.25,nm,nm,0.2942,0.2118
1728303300000,495,1,0,up,up,0.5,1,nm,nm,0.55,0.8363
1728303600000,500,1,0,dn,up,-0.5,1.75,nm,nm,0.6698,1.4686
1728303900000,505,1,0,up,up,1,3,nm,mv,1.2361,2.4731
1728304200000,510,1,0,up,up,1.25,1.75,mv,nm,1.654,1.5085
1728304500000,515,1,0,up,dn,0.75,0,nm,nm,1.1792,0
1728304800000,520,1,0,dn,dn,-0.25,-1.75,nm,nm,0.3931,1.7327
1728305100000,525,1,1,dn,dn,-0.5,-2,nm,mv,0.7861,2.0595
1728305400000,530,1,1,dn,up,-1,1.75,mv,mv,1.3742,1.7234
1728305700000,535,1,1,dn,up,-0.5,2.5,nm,mv,0.5993,2.0851
1728306000000,540,1,1,up,up,3.25,1.75,mv,mv,4.1515,1.2925
1728306300000,545,1,1,dn,dn,-0.25,-0.75,nm,nm,0.1755,0.5571
1728306600000,550,1,1,dn,up,-1.25,1.25,mv,mv,0.8805,0.9062
1728306900000,555,1,1,up,up,0.75,1.25,nm,mv,0.4968,0.9347
1728307200000,560,1,1,up,up,1.75,1.75,mv,mv,1.1525,1.2666
1728307500000,565,1,1,dn,dn,-1.25,-2.5,mv,mv,0.8267,1.8343
1728307800000,570,1,1,up,dn,1.25,-0.75,mv,nm,0.7685,0.5503
1728308100000,575,1,1,dn,dn,-2.5,-5.25,mv,mv,2.1374,3.8236
