Strategy report
Symbol: /ES:XCME
Work Time: 5/24/24, 8:50 AM - 10/3/24, 11:05 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
38;_participation_(1,716,560,100,000,13,791,15,284,16,503.3333,20,305.8333,19,758.8333,0.9023,0.8356,0.6792,0.698,-0.176,-0.169,N/A,0.0003,0.0001,0.0001,0.0001,0);Buy to Open;1;50.0;$5,304.00;5/24/24, 10:20 AM;;$4,537.50;0.0;
39;_participation_;Sell to Close;-1;-50.0;$5,311.00;5/24/24, 10:25 AM;$237.50;$4,462.50;-50.0;
40;_participation_(1,716,560,400,000,14,513,14,152,15,027,18,935.5,20,764.75,1.0255,0.9658,0.7664,0.6989,-0.0455,0.0286,N/A,0.0001,0.0002,0.0001,0.0001,0);Buy to Open;1;50.0;$5,306.25;5/24/24, 10:25 AM;;$4,775.00;0.0;
41;_participation_;Sell to Close;-1;-50.0;$5,313.50;5/24/24, 10:30 AM;$225.00;$4,825.00;-50.0;
42;_participation_(1,716,560,700,000,15,569,15,041,14,624.3333,19,595.1667,21,364.5833,1.0351,1.0646,0.7945,0.7287,-0.0104,0.1473,N/A,0.0002,0.0001,0.0002,0.0001,0);Buy to Open;1;50.0;$5,309.00;5/24/24, 10:30 AM;;$5,000.00;0.0;
43;_participation_;Sell to Close;-1;-50.0;$5,313.00;5/24/24, 10:35 AM;$125.00;$5,187.50;-50.0;
44;_participation_(1,716,561,000,000,10,931,13,250,13,671,15,087.1667,19,251,0.825,0.7996,0.7245,0.5678,-0.1199,-0.0092,N/A,0,0.0001,0.0001,0.0001,0);Buy to Open;1;50.0;$5,310.50;5/24/24, 10:35 AM;;$5,125.00;0.0;
45;_participation_;Sell to Close;-1;-50.0;$5,312.50;5/24/24, 10:40 AM;$212.50;$5,462.50;-50.0;
46;_participation_(1,716,561,300,000,14,283,12,607,13,594.3333,14,310.6667,18,531.6667,1.1329,1.0507,0.9981,0.7707,0.1384,0.0232,N/A,-0.0002,-0.0001,-0,0.0001,0);Buy to Open;1;50.0;$5,308.25;5/24/24, 10:40 AM;;$5,337.50;0.0;
47;_participation_;Sell to Close;-1;-50.0;$5,310.00;5/24/24, 10:45 AM;$275.00;$5,300.00;-50.0;
48;_participation_(1,716,561,600,000,13,557,13,920,12,923.6667,13,774,18,047.8333,0.9739,1.049,0.9842,0.7512,0.1856,-0.215,N/A,-0.0003,-0.0002,-0.0002,0,0);Buy to Open;1;50.0;$5,304.50;5/24/24, 10:45 AM;;$5,612.50;0.0;
49;_participation_;Sell to Close;-1;-50.0;$5,311.25;5/24/24, 10:50 AM;$337.50;$5,487.50;-50.0;
50;_participation_(1,716,561,900,000,13,929,13,743,13,923,13,797,17,051.4167,1.0135,1.0004,1.0096,0.8169,0.0243,-0.1732,N/A,0.0004,0.0001,-0,0,0.0001);Buy to Open;1;50.0;$5,304.50;5/24/24, 10:50 AM;;$5,950.00;0.0;
51;_participation_;Sell to Close;-1;-50.0;$5,314.00;5/24/24, 10:55 AM;$187.50;$5,812.50;-50.0;
52;_participation_(1,716,562,200,000,10,822,12,375.5,12,769.3333,13,181.8333,16,058.6667,0.8745,0.8475,0.821,0.6739,-0.1022,-0.1867,N/A,0.0003,0.0003,0.0001,0,0.0001);Buy to Open;1;50.0;$5,310.25;5/24/24, 10:55 AM;;$6,137.50;0.0;
53;_participation_;Sell to Close;-1;-50.0;$5,317.50;5/24/24, 11:00 AM;$187.50;$5,837.50;-50.0;
54;_participation_(1,716,562,500,000,15,398,13,110,13,383,13,153.3333,16,374.25,1.1745,1.1506,1.1707,0.9404,0.1292,0.3004,N/A,0.0002,0.0002,0.0003,0.0001,0.0001);Buy to Open;1;50.0;$5,313.75;5/24/24, 11:00 AM;;$6,325.00;0.0;
55;_participation_;Sell to Close;-1;-50.0;$5,324.00;5/24/24, 11:05 AM;$450.00;$6,287.50;-50.0;
56;_participation_(1,716,562,800,000,24,895,20,146.5,17,038.3333,15,480.6667,15,283.9167,1.2357,1.4611,1.6081,1.6288,0.2337,0.196,N/A,0.0003,0.0002,0.0002,0.0001,0.0001);Buy to Open;1;50.0;$5,315.00;5/24/24, 11:05 AM;;$6,775.00;0.0;
57;_participation_;Sell to Close;-1;-50.0;$5,325.25;5/24/24, 11:10 AM;$137.50;$6,600.00;-50.0;
58;_participation_(1,716,563,100,000,20,281,22,588,20,191.3333,16,480.3333,15,395.5,0.8979,1.0044,1.2306,1.3173,0.3192,0.1291,N/A,0.0001,0.0002,0.0002,0.0002,0.0001);Buy to Open;1;50.0;$5,322.50;5/24/24, 11:10 AM;;$6,912.50;0.0;
59;_participation_;Sell to Close;-1;-50.0;$5,329.00;5/24/24, 11:15 AM;$237.50;$7,025.00;-50.0;
60;_participation_(1,716,563,400,000,18,418,19,349.5,21,198,17,290.5,15,532.25,0.9519,0.8689,1.0652,1.1858,-0.2012,0.0794,N/A,0.0002,0.0001,0.0002,0.0002,0.0001);Buy to Open;1;50.0;$5,324.25;5/24/24, 11:15 AM;;$7,150.00;0.0;
61;_participation_;Sell to Close;-1;-50.0;$5,329.25;5/24/24, 11:20 AM;$187.50;$7,300.00;-50.0;
62;_participation_(1,716,563,700,000,16,452,17,435,18,383.6667,17,711,15,754,0.9436,0.8949,0.9289,1.0443,0.0423,-0.0459,N/A,-0.0001,0.0001,0.0001,0.0002,0.0001);Buy to Open;1;50.0;$5,325.50;5/24/24, 11:20 AM;;$7,337.50;0.0;
63;_participation_;Sell to Close;-1;-50.0;$5,327.00;5/24/24, 11:25 AM;$125.00;$7,512.50;-50.0;
64;_participation_(1,716,564,000,000,11,035,13,743.5,15,301.6667,17,746.5,15,464.1667,0.8029,0.7212,0.6218,0.7136,0.002,-0.0984,N/A,-0,-0.0001,0,0.0001,0.0001);Buy to Open;1;50.0;$5,324.50;5/24/24, 11:25 AM;;$7,462.50;0.0;
65;_participation_;Sell to Close;-1;-50.0;$5,326.25;5/24/24, 11:30 AM;$162.50;$7,437.50;-50.0;
