Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/9/24, 1:05 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
48;_trend_(1,728,258,900,000|-0.0129|-0.0022|-0.0086|-0.0065|-0.0039|-0.0215|0.0151|-0.0043|-0.005|-0.0172|8|-6.2969|0.4602|-2.6788|0.0059|-0.0081);Buy to Open;1;50.0;$5,802.00;10/6/24, 8:00 PM;;$2,725.00;0.0;
49;_trend_(SellClose);Sell to Close;-1;-50.0;$5,803.00;10/6/24, 8:05 PM;$200.00;$2,987.50;-50.0;
50;_trend_(1,728,259,200,000|-0.0302|-0.0215|-0.0115|-0.0122|-0.0104|-0.0172|-0.0151|0.0014|-0.0036|-0.0144|14.2857|-9.0886|-6.767|-7.2272|0.002|0.0005);Buy to Open;1;50.0;$5,799.00;10/6/24, 8:05 PM;;$2,925.00;0.0;
51;_trend_(SellClose);Sell to Close;-1;-50.0;$5,800.25;10/6/24, 8:10 PM;$150.00;$3,112.50;-50.0;
52;_trend_(1,728,259,500,000|-0.0431|-0.0366|-0.0287|-0.0187|-0.0126|-0.0129|-0.0345|-0.0201|-0.0122|-0.0126|4.878|-13.3987|-2.0501|4.7169|0.022|-0.0286);Buy to Open;1;50.0;$5,797.25;10/6/24, 8:10 PM;;$3,075.00;0.0;
53;_trend_(SellClose);Sell to Close;-1;-50.0;$5,798.25;10/6/24, 8:15 PM;$100.00;$3,150.00;-50.0;
54;_trend_(1,728,259,800,000|-0.0216|-0.0323|-0.0316|-0.0201|-0.0151|0.0215|-0.0108|-0.023|-0.0101|-0.0144|2.3256|-14.3073|0.6048|2.655|0.0145|0.0092);Buy to Open;1;50.0;$5,796.25;10/6/24, 8:15 PM;;$3,175.00;0.0;
55;_trend_(SellClose);Sell to Close;-1;-50.0;$5,798.00;10/6/24, 8:20 PM;$112.50;$3,275.00;-50.0;
56;_trend_(1,728,260,100,000|0.0043|-0.0086|-0.0201|-0.0158|-0.0136|0.0259|0.028|-0.0086|-0.0043|-0.0122|9.5238|-16.28|-0.0161|-0.6209|-0.016|0.0031);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:20 PM;;$3,287.50;0.0;
57;_trend_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 8:25 PM;$100.00;$3,375.00;-50.0;
58;_trend_(1,728,260,400,000|-0.0129|-0.0043|-0.0101|-0.0194|-0.0111|-0.0173|0.028|0.0187|-0.0165|-0.009|2.7778|-18.0775|0.5996|0.6156|0.0082|-0.0056);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:25 PM;;$3,387.50;0.0;
59;_trend_(SellClose);Sell to Close;-1;-50.0;$5,797.25;10/6/24, 8:30 PM;$75.00;$3,450.00;-50.0;
60;_trend_(1,728,260,700,000|0|-0.0065|-0.0029|-0.0172|-0.0118|0.0129|0.0022|0.0287|-0.0108|-0.0072|2.7778|-16.562|1.8575|1.2579|0.0094|0.0049);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:30 PM;;$3,462.50;0.0;
61;_trend_(SellClose);Sell to Close;-1;-50.0;$5,797.75;10/6/24, 8:35 PM;$112.50;$3,512.50;-50.0;
62;_trend_(1,728,261,000,000|0|0|-0.0043|-0.0122|-0.0122|0|0.0043|0.0158|-0|-0.014|5.5556|-15.5269|-2.1605|-4.0179|-0.0047|0.0012);Buy to Open;1;50.0;$5,795.50;10/6/24, 8:35 PM;;$3,575.00;0.0;
63;_trend_(SellClose);Sell to Close;-1;-50.0;$5,797.50;10/6/24, 8:40 PM;$100.00;$3,562.50;-50.0;
64;_trend_(1,728,261,300,000|0.0129|0.0065|0.0043|-0.0029|-0.0108|0.0129|0.0129|0.0144|0.0158|-0.0101|13.8889|-11.116|-1.4143|0.7462|-0.0036|0.0093);Buy to Open;1;50.0;$5,795.50;10/6/24, 8:40 PM;;$3,675.00;0.0;
65;_trend_(SellClose);Sell to Close;-1;-50.0;$5,798.00;10/6/24, 8:45 PM;$62.50;$3,787.50;-50.0;
66;_trend_(1,728,261,600,000|0.0173|0.0151|0.0101|0.0036|-0.0083|0.0043|0.0151|0.0129|0.0237|-0.0061|26.4706|-6.7647|4.2957|5.71|-0.0008|0.0025);Buy to Open;1;50.0;$5,796.75;10/6/24, 8:45 PM;;$3,737.50;0.0;
67;_trend_(SellClose);Sell to Close;-1;-50.0;$5,797.50;10/6/24, 8:50 PM;$112.50;$3,775.00;-50.0;
68;_trend_(1,728,261,900,000|-0.0345|-0.0086|-0.0014|-0.0029|-0.0093|-0.0517|-0.0151|0.0029|0.0129|-0.0065|5.7143|-14.9747|0.5483|-3.7474|0.004|-0.0051);Buy to Open;1;50.0;$5,795.25;10/6/24, 8:50 PM;;$3,850.00;0.0;
69;_trend_(SellClose);Sell to Close;-1;-50.0;$5,797.00;10/6/24, 8:55 PM;$62.50;$3,825.00;-50.0;
70;_trend_(1,728,262,200,000|0.0173|-0.0086|0|0.0022|-0.0086|0.0518|-0.0237|-0.0043|0.0215|-0.0075|17.1429|-10.3734|5.6291|5.0808|-0.0032|0.0087);Buy to Open;1;50.0;$5,795.75;10/6/24, 8:55 PM;;$3,912.50;0.0;
71;_trend_(SellClose);Sell to Close;-1;-50.0;$5,798.50;10/6/24, 9:00 PM;$87.50;$3,862.50;-50.0;
72;_trend_(1,728,262,500,000|0.0129|0.0151|-0.0014|0.0043|-0.0065|-0.0043|0.0237|-0.0115|0.0215|-0.0025|29.0323|-5.4024|1.5457|-4.0834|-0.0082|0.013);Buy to Open;1;50.0;$5,796.75;10/6/24, 9:00 PM;;$4,000.00;0.0;
73;_trend_(SellClose);Sell to Close;-1;-50.0;$5,799.75;10/6/24, 9:05 PM;$150.00;$4,050.00;-50.0;
74;_trend_(1,728,262,800,000|0.0345|0.0237|0.0216|0.0101|-0.0011|0.0216|0.0323|0.023|0.0223|0.0093|85|2.1643|-5.536|-7.0817|-0.0228|0.0298);Buy to Open;1;50.0;$5,796.75;10/6/24, 9:05 PM;;$4,150.00;0.0;
75;_trend_(SellClose);Sell to Close;-1;-50.0;$5,800.75;10/6/24, 9:10 PM;$100.00;$4,175.00;-50.0;
76;_trend_(1,728,263,100,000|-0.0129|0.0108|0.0115|0.0058|0.0014|-0.0474|-0.0043|0.0115|0.0086|0.014|63.6364|0.1635|0.5043|6.0403|0.0106|-0.0143);Buy to Open;1;50.0;$5,798.75;10/6/24, 9:10 PM;;$4,250.00;0.0;
77;_trend_(SellClose);Sell to Close;-1;-50.0;$5,800.50;10/6/24, 9:15 PM;$112.50;$4,175.00;-50.0;
78;_trend_(1,728,263,400,000|0.0259|0.0065|0.0158|0.0072|0.0054|0.0388|-0.0173|0.0172|0.0036|0.0205|90.9091|6.3244|-0.7892|-1.2935|-0.0118|0.0186);Buy to Open;1;50.0;$5,798.25;10/6/24, 9:15 PM;;$4,362.50;0.0;
79;_trend_(SellClose);Sell to Close;-1;-50.0;$5,802.00;10/6/24, 9:20 PM;$100.00;$4,337.50;-50.0;
80;_trend_(1,728,263,700,000|0.0302|0.028|0.0144|0.018|0.0075|0.0043|0.0172|-0.0072|0.0208|0.0212|100|10.4066|0.1718|0.961|-0.0067|0.0106);Buy to Open;1;50.0;$5,800.00;10/6/24, 9:20 PM;;$4,462.50;0.0;
81;_trend_(SellClose);Sell to Close;-1;-50.0;$5,804.50;10/6/24, 9:25 PM;$162.50;$4,650.00;-50.0;
82;_trend_(1,728,264,000,000|0.0086|0.0194|0.0216|0.0165|0.0093|-0.0216|0.0129|0.0101|0.0144|0.0205|78.3784|8.2549|-3.792|-3.9638|0.0078|-0.0061);Buy to Open;1;50.0;$5,801.25;10/6/24, 9:25 PM;;$4,625.00;0.0;
83;_trend_(SellClose);Sell to Close;-1;-50.0;$5,802.50;10/6/24, 9:30 PM;$112.50;$4,562.50;-50.0;
