FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1706085900000,225,3,0,up,up,0.75,0.25,mv,nm,1.143,0.1837
1706086200000,230,3,0,up,up,0.5,0.25,mv,nm,0.7811,0.1805
1706086500000,235,3,0,dn,dn,-1,-0.75,mv,mv,1.5623,0.5415
1706086800000,240,3,0,up,up,0.75,0.25,mv,nm,1.1717,0.1813
1706087100000,245,3,0,dn,up,-0.5,1,mv,mv,0.6871,0.7848
1706087400000,250,3,0,dn,up,0,0.75,nm,mv,0,0.7804
1706087700000,255,3,0,up,up,1.5,1,mv,mv,2.286,1.2847
1706088000000,260,3,0,dn,dn,-0.75,0,mv,nm,0.9126,0
1706088300000,265,3,0,up,up,0.25,1.25,nm,mv,0.2847,1.9383
1706088600000,270,3,0,up,up,0.5,1,mv,mv,0.6616,1.5727
1706088900000,275,3,0,up,up,0.5,0.75,mv,mv,0.6838,1.1717
1706089200000,280,3,0,dn,up,0,0.75,nm,mv,0,1.1142
1706089500000,285,3,0,up,up,0.25,1.5,nm,mv,0.3721,2.1954
1706089800000,290,3,0,up,up,0.5,0.25,mv,nm,1.1711,0.3638
1706090100000,295,3,0,up,dn,0.75,-1.25,mv,mv,4.0249,1.8116
1706090400000,300,3,0,dn,dn,-1,-3,mv,mv,4.2426,4.1167
1706090700000,305,3,0,dn,dn,-1,-2.75,mv,mv,1.7504,4.0018
1706091000000,310,3,0,dn,dn,-1,-1.25,mv,mv,1.4552,1.5917
1706091300000,315,3,0,dn,up,-0.75,0.5,mv,nm,0.982,0.4806
1706091600000,320,3,0,up,up,0.5,1.5,mv,mv,0.6708,1.2132
1706091900000,325,3,0,up,up,0.75,0.75,mv,mv,1.0062,0.5909
1706092200000,330,3,0,up,dn,0.25,-0.5,nm,nm,0.3354,0.3927
1706092500000,335,3,0,dn,dn,-0.25,-1,nm,mv,0.3436,0.7589
1706092800000,340,3,0,dn,up,-0.5,0.5,mv,nm,0.7811,0.3818
1706093100000,345,3,0,dn,up,-0.25,1.25,nm,mv,0.4629,0.9482
1706093400000,350,3,0,up,up,1.25,3.5,mv,mv,2.7854,2.6433
1706093700000,355,3,0,up,up,0.25,2.5,nm,mv,0.4036,1.8974
1706094000000,360,3,0,up,up,2,1.25,mv,mv,3.4915,0.9403
1706094300000,365,3,0,up,dn,0.25,-1.25,nm,mv,0.275,0.8061
1706094600000,370,3,0,dn,dn,-1,-1.5,mv,mv,1.1547,0.9247
1706094900000,375,3,0,dn,dn,-0.5,-1,mv,mv,0.5126,0.6138
1706095200000,380,3,0,dn,dn,0,0,nm,nm,0,0
1706095500000,385,3,0,dn,dn,-0.5,0,mv,nm,0.5367,0
1706095800000,390,3,0,up,dn,0.5,0,mv,nm,0.5198,0
1706096100000,395,3,0,dn,dn,0,-0.25,nm,nm,0,0.1492
1706096400000,400,3,0,dn,dn,-0.5,-0.25,mv,nm,1.0445,0.1514
1706096700000,405,3,0,up,dn,0.25,0,nm,nm,0.6708,0
1706097000000,410,3,0,dn,dn,0,-0.25,nm,nm,0,0.1898
1706097300000,415,3,0,dn,up,-0.25,0.25,nm,nm,0.6838,0.1965
1706097600000,420,3,0,dn,dn,0,-0.25,nm,nm,0,0.1963
1706097900000,425,3,0,up,up,0.5,0.5,mv,nm,2.1213,0.4016
1706098200000,430,3,0,dn,dn,-0.75,-0.75,mv,mv,2.3238,0.6057
1706098500000,435,3,0,up,up,0.75,0.5,mv,nm,1.908,0.4059
1706098800000,440,3,0,dn,up,-0.75,1,mv,mv,1.5378,0.8343
1706099100000,445,3,0,up,up,0.5,0.75,mv,mv,0.8752,0.6149
1706099400000,450,3,0,up,up,1.25,1,mv,mv,2.0751,0.8361
1706099700000,455,3,0,dn,dn,-1,-1,mv,mv,1.3333,1.096
1706100000000,460,3,0,up,up,0.75,0.25,mv,nm,0.866,0.3492
1706100300000,465,3,0,dn,up,-0.75,2.25,mv,mv,0.9045,3.2504
1706100600000,470,3,0,up,up,0.25,5.25,nm,mv,0.2887,7.8259
1706100900000,475,3,0,up,up,2.75,6,mv,mv,3.4405,10.4044
1706101200000,480,3,0,up,up,2.25,3,mv,mv,1.7832,4.1779
1706101500000,485,3,0,up,up,1,1.75,mv,mv,0.713,1.29
1706101800000,490,3,0,dn,up,-0.25,1.25,nm,mv,0.2125,0.6783
1706102100000,495,3,0,up,up,1,1.75,mv,mv,0.7857,0.9236
1706102400000,500,3,0,up,dn,0.5,-2,mv,mv,0.4773,1.0656
1706102700000,505,3,0,up,dn,0.25,-3.75,nm,mv,0.2464,2.0297
1706103000000,510,3,0,dn,dn,-2.75,-3.5,mv,mv,3.5128,1.9145
1706103300000,515,3,0,dn,dn,-1.25,-1.75,mv,mv,0.9718,0.8974
1706103600000,520,3,0,up,dn,0.5,-0.25,nm,nm,0.3982,0.1111
1706103900000,525,3,1,dn,dn,-1,-0.75,mv,nm,0.7678,0.3047
1706104200000,530,3,1,up,up,0.25,0.75,nm,nm,0.212,0.2966
1706104500000,535,3,1,dn,up,0,1.5,nm,mv,0,0.5962
1706104800000,540,3,1,up,up,0.5,2,nm,mv,0.4494,0.7882
1706105100000,545,3,1,up,up,1,1.75,mv,mv,1.4241,0.69
1706105400000,550,3,1,up,up,0.5,2.25,nm,mv,0.8072,0.8843
1706105700000,555,3,1,up,dn,0.25,-1,nm,nm,0.4036,0.3903
1706106000000,560,3,1,up,dn,1.5,-3.75,mv,mv,4.8107,1.4778
1706106300000,565,3,1,dn,dn,-2.75,-4.75,mv,mv,5.5582,1.8612
1706106600000,570,3,1,dn,dn,-2.5,-5.25,mv,mv,1.8291,2.0426
1706106900000,575,3,1,up,dn,0.5,-1.25,nm,mv,0.2996,0.4942
1706107200000,580,3,1,dn,dn,-3.25,-2.5,mv,mv,2.0166,1.0524
1706107500000,585,3,1,up,dn,1.5,-4.75,mv,mv,0.8129,1.9101
1706107800000,590,3,1,dn,dn,-0.75,-2.25,mv,mv,0.3677,0.9328
1706108100000,595,3,1,dn,up,-5.5,0.75,mv,nm,3.1173,0.3156
1706108400000,600,3,1,up,up,4,7.5,mv,mv,1.6939,3.1202
1706108700000,605,3,1,up,up,2.25,3.75,mv,mv,0.7247,1.5578
1706109000000,610,3,1,up,up,1.25,3.5,mv,mv,0.3822,1.4609
1706109300000,615,3,1,up,up,0.25,2,nm,mv,0.083,0.6539
1706109600000,620,3,1,up,up,2,6.5,mv,mv,0.6721,2.0281
1706109900000,625,3,1,dn,up,-0.25,10.5,nm,mv,0.0834,3.1587
1706110200000,630,3,1,up,up,4.75,8,mv,mv,3.4003,2.3841
1706110500000,635,3,1,up,dn,6,-1,mv,nm,3.6972,0.2725
1706110800000,640,3,1,dn,dn,-2.75,-6,mv,mv,1.1986,1.3808
1706111100000,645,3,1,dn,dn,-4.25,-1,mv,nm,1.4222,0.2154
1706111400000,650,3,1,up,dn,1,-0.5,nm,nm,0.2685,0.1072
1706111700000,655,3,1,up,dn,2.25,-3.75,mv,mv,0.6091,0.7622
1706112000000,660,3,1,dn,dn,-3.75,-2.75,mv,mv,1.0139,0.559
1706112300000,665,3,1,dn,up,-2.25,1.75,mv,nm,0.611,0.3633
1706112600000,670,3,1,up,up,3.25,3.5,mv,mv,1.3462,0.7355
1706112900000,675,3,1,up,dn,0.75,-1.5,nm,nm,0.2561,0.325
1706113200000,680,3,1,dn,dn,-0.5,-1.5,nm,nm,0.204,0.327
1706113500000,685,3,1,dn,dn,-1.75,-2,mv,nm,0.7189,0.4414
1706113800000,690,3,1,up,up,0.75,2.75,nm,mv,0.3324,0.6333
1706114100000,695,3,1,dn,up,-1,4,nm,mv,0.547,0.9284
1706114400000,700,3,1,up,up,3,5.5,mv,mv,1.859,1.254
1706114700000,705,3,1,up,up,2,2.25,mv,mv,1.3011,0.5417
1706115000000,710,3,1,up,up,0.5,2,nm,nm,0.2985,0.4805
1706115300000,715,3,1,dn,dn,-0.25,-2,nm,nm,0.1539,0.4709
1706115600000,720,3,1,up,dn,1.75,-2.75,mv,mv,1.3099,0.6472
1706115900000,725,3,1,dn,dn,-3.5,-2.75,mv,mv,2.542,0.6758
1706116200000,730,3,1,dn,up,-1,2.5,nm,mv,0.4751,0.7298
1706116500000,735,3,1,up,up,1.75,5.75,mv,mv,0.9448,1.9431
1706116800000,740,3,1,up,up,1.75,3.5,mv,mv,0.9684,1.1615
1706117100000,745,3,1,up,up,2.25,1,mv,nm,1.163,0.3663
1706117400000,750,3,1,dn,up,-0.5,0.25,nm,nm,0.2402,0.0836
1706117700000,755,3,1,dn,up,-0.75,2,nm,nm,0.3704,0.656
1706118000000,760,3,1,up,up,1.5,3,mv,mv,1.1099,1.0557
1706118300000,765,3,1,up,dn,1.25,-4,nm,mv,1.066,1.4831
1706118600000,770,3,1,up,dn,0.25,-5.5,nm,mv,0.2206,2.0368
1706118900000,775,3,1,dn,dn,-5.5,-10,mv,mv,5.062,3.732
1706119200000,780,3,1,dn,dn,-0.25,-5.5,nm,mv,0.1073,1.9132
1706119500000,785,3,1,dn,dn,-4.25,-4.75,mv,mv,1.8203,1.4835
1706119800000,790,3,1,dn,up,-1,3,nm,mv,0.3689,0.7464
1706120100000,795,3,1,up,up,0.5,0.75,nm,nm,0.2042,0.1789
1706120400000,800,3,1,up,dn,3.5,-5.75,mv,mv,1.5114,1.3678
1706120700000,805,3,1,dn,dn,-3.25,-9,mv,mv,1.0863,2.2274
1706121000000,810,3,1,dn,dn,-6,-6,mv,mv,2.3709,1.502
1706121300000,815,3,1,up,up,0.25,1,nm,nm,0.0792,0.2444
1706121600000,820,3,1,dn,up,-0.25,1.5,nm,nm,0.0832,0.3358
1706121900000,825,3,1,up,up,1,0.25,nm,nm,0.3315,0.0546
1706122200000,830,3,1,up,dn,0.75,-1.5,nm,nm,0.2451,0.3254
1706122500000,835,3,1,dn,dn,-1.5,-6,nm,mv,0.5893,1.3138
1706122800000,840,3,1,dn,dn,-0.75,-4.25,nm,mv,0.3131,1.0031
1706123100000,845,3,1,dn,dn,-3.75,-9.75,mv,mv,4.3503,2.4177
1706123400000,850,3,1,up,dn,0.25,-5,nm,mv,0.1575,1.2362
1706123700000,855,3,1,dn,dn,-6.25,-6.25,mv,mv,3.8474,1.5619
1706124000000,860,3,1,up,up,1,2.5,nm,nm,0.4113,0.607
1706124300000,865,3,1,dn,up,-1,6,nm,mv,0.4036,1.5719
1706124600000,870,3,1,up,up,2.5,8,mv,mv,1.0017,2.0756
1706124900000,875,3,1,up,up,4.5,5.25,mv,mv,1.5187,1.2764
1706125200000,880,3,1,up,dn,1,-2.75,nm,mv,0.2982,0.6314
1706125500000,885,3,1,dn,dn,-0.25,-2.25,nm,nm,0.0742,0.456
1706125800000,890,3,1,dn,dn,-3.5,-2.25,mv,nm,1.9389,0.4372
1706126100000,895,3,1,up,dn,1.5,-6.75,mv,mv,0.588,1.3391
1706126400000,900,3,1,dn,dn,-0.25,-12,nm,mv,0.1013,2.3973
1706126700000,905,3,1,dn,dn,-8,-8.5,mv,mv,3.3423,1.7279
1706127000000,910,3,1,dn,dn,-3.75,-3.75,mv,mv,1.143,0.7882
1706127300000,915,3,1,up,up,3.25,3.25,mv,mv,1.0378,0.62
1706127600000,920,3,1,dn,up,-3.25,2.5,mv,nm,0.869,0.463
1706127900000,925,3,1,up,up,3.25,7.75,mv,mv,0.8732,1.4567
1706128200000,930,3,1,up,dn,2.5,-3,mv,mv,0.6216,0.5499
1706128500000,935,3,1,up,dn,2,-8.25,mv,mv,0.4671,1.4799
1706128800000,940,3,1,dn,dn,-7.5,-9,mv,mv,2.5156,1.5128
1706129100000,945,3,0,dn,dn,-2.75,-6.25,mv,mv,0.6798,1.0549
1706129400000,950,3,0,up,dn,1.25,-5.75,nm,mv,0.3233,0.9883
1706129700000,955,3,0,dn,dn,-4.75,-5.5,mv,mv,1.2552,0.9131
1706130000000,960,3,0,dn,dn,-2.25,-1.25,mv,nm,0.6016,0.2075
1706130300000,965,3,0,up,up,1.5,0.25,nm,nm,0.4581,0.0416
1706130600000,970,3,0,dn,dn,-0.5,-0.75,nm,nm,0.1578,0.1313
1706130900000,975,3,0,dn,up,-0.75,1.5,nm,nm,0.3361,0.2936
1706131200000,980,3,0,up,up,0.5,5.75,nm,mv,0.2348,1.207
1706131500000,985,3,0,up,up,1.75,5.25,mv,mv,0.8673,1.0929
1706131800000,990,3,0,up,up,3.5,4.25,mv,mv,2.5362,0.8621
1706132100000,995,3,0,dn,up,0,0.5,nm,nm,0,0.0936
1706132400000,1000,3,0,up,up,0.75,3.75,nm,mv,0.5095,0.6762
1706132700000,1005,3,0,dn,up,-0.25,0.75,nm,nm,0.1832,0.1451
1706133000000,1010,3,0,up,up,3.25,0.75,mv,nm,2.5591,0.1542
1706133300000,1015,3,0,dn,dn,-2.25,-2.25,mv,nm,1.5286,0.4586
1706137200000,1080,4,0,dn,dn,-0.25,-0.25,nm,nm,0.1241,0.0517
1706137500000,1085,4,0,up,dn,0.25,-0.25,nm,nm,0.1528,0.0521
1706137800000,1090,4,0,dn,dn,-0.25,-1.5,nm,nm,0.1531,0.3434
1706138100000,1095,4,0,dn,dn,-0.25,-0.75,nm,nm,0.1539,0.1726
1706138400000,1100,4,0,dn,dn,-1,-0.25,nm,nm,0.6156,0.063
1706138700000,1105,4,0,up,up,0.5,1,nm,nm,0.6148,0.2939
1706139000000,1110,4,0,up,dn,0.25,-0.25,nm,nm,0.5303,0.0816
1706139300000,1115,4,0,up,up,0.25,0.75,nm,nm,0.5071,0.2777
1706139600000,1120,4,0,dn,up,-0.75,0.75,nm,nm,1.5213,0.3308
1706139900000,1125,4,0,up,up,1.25,0.5,nm,nm,2.2613,0.2247
1706140200000,1130,4,0,up,dn,0.25,-2.25,nm,nm,0.3293,1.014
1706140500000,1135,4,0,dn,dn,-1,-3.5,nm,mv,1.7099,1.6059
1706140800000,1140,4,0,dn,dn,-1.5,-1.25,nm,nm,2.022,0.5732
1706141100000,1145,4,0,dn,up,-1,1.25,nm,nm,1.082,0.6316
1706141400000,1150,4,0,up,up,1.25,2,nm,nm,1.3457,1.0852
1706141700000,1155,4,0,up,up,1,2.25,nm,nm,0.9039,1.4386
1706142000000,1160,4,0,dn,dn,-0.25,0,nm,nm,0.2364,0
1706142300000,1165,4,0,up,dn,1.5,-0.25,mv,nm,1.4412,0.1798
1706142600000,1170,4,0,dn,dn,-1.25,-0.75,nm,nm,1.0854,0.5033
1706142900000,1175,4,0,dn,up,-0.5,0.75,nm,nm,0.4572,0.5088
1706143200000,1180,4,0,up,up,1,2,nm,nm,0.9856,1.4388
1706143500000,1185,4,0,up,up,0.25,1.5,nm,nm,0.2554,1.0734
1706143800000,1190,4,0,up,up,0.75,1.5,nm,nm,0.814,1.0625
1706144100000,1195,4,0,up,dn,0.5,0,nm,nm,0.5383,0
1706144400000,1200,4,0,up,dn,0.25,-1.75,nm,nm,0.323,1.1976
1706144700000,1205,4,0,dn,dn,-0.75,-3,nm,mv,1.5848,2.022
1706145000000,1210,4,0,dn,dn,-1.25,-3.75,mv,mv,2.2613,2.5399
1706145300000,1215,4,0,dn,dn,-1,-2.5,nm,mv,1.4021,1.6185
1706145600000,1220,4,0,dn,dn,-1.5,-1.25,mv,nm,1.9298,0.735
1706145900000,1225,4,0,dn,dn,0,-0.5,nm,nm,0,0.2645
1706146200000,1230,4,0,up,dn,0.25,-1.5,nm,nm,0.3931,0.7705
1706146500000,1235,4,0,dn,dn,-0.75,-2,nm,mv,1.1792,1.0482
1706146800000,1240,4,0,dn,up,-1,1.5,nm,nm,1.5723,0.8559
1706147100000,1245,4,0,dn,up,-0.25,3.25,nm,mv,0.4121,1.8449
1706147400000,1250,4,0,up,up,2.75,4.75,mv,mv,4.5653,2.6866
1706147700000,1255,4,0,up,up,0.75,1.25,nm,nm,0.6096,0.721
1706148000000,1260,4,0,up,up,1.25,0.75,mv,nm,1.0039,0.4094
1706148300000,1265,4,0,dn,dn,-0.75,-2.25,mv,mv,0.5794,1.0337
1706148600000,1270,4,0,up,dn,0.25,-0.5,nm,nm,0.1931,0.2274
1706148900000,1275,4,0,dn,dn,-1.75,-1.75,mv,mv,1.544,0.7963
1706149200000,1280,4,0,up,dn,1,-0.75,mv,nm,0.6975,0.3331
1706149500000,1285,4,0,dn,dn,-1,-4,mv,mv,0.945,1.8234
1706149800000,1290,4,0,dn,dn,-0.75,-1.25,mv,nm,0.6903,0.5745
1706150100000,1295,4,0,dn,dn,-2.25,-1,mv,nm,2.5288,0.4705
1706150400000,1300,4,0,up,up,1.75,1.75,mv,mv,1.5785,0.7741
1706150700000,1305,4,0,dn,up,-0.5,0.75,nm,nm,0.3499,0.3331
1706151000000,1310,4,0,up,dn,0.5,0,nm,nm,0.3793,0
1706151300000,1315,4,0,up,dn,0.75,-1,mv,nm,0.601,0.4732
1706151600000,1320,4,0,dn,dn,-1.25,-0.25,mv,nm,0.9827,0.1215
1706151900000,1325,4,0,dn,up,-0.5,0.75,nm,nm,0.3765,0.3674
1706152200000,1330,4,0,up,up,1.5,0.5,mv,nm,1.5199,0.2439
1706152500000,1335,4,0,dn,dn,-0.25,0,nm,nm,0.2716,0
1706152800000,1340,4,0,dn,dn,-0.75,0,mv,nm,0.8347,0
1706153100000,1345,4,0,up,up,1,0.75,mv,nm,1.0733,0.3853
1706153400000,1350,4,0,dn,dn,-0.25,0,nm,nm,0.257,0
1706153700000,1355,4,0,dn,up,0,0.75,nm,nm,0,0.559
1706154000000,1360,4,0,up,up,0.25,0.5,nm,nm,0.3193,0.381
1706154300000,1365,4,0,up,up,0.5,0.5,nm,nm,0.9258,0.3887
1706154600000,1370,4,0,dn,up,-0.25,1,nm,nm,0.451,0.8086
1706154900000,1375,4,0,up,up,0.25,2,nm,mv,0.5644,1.6019
1706155200000,1380,4,0,up,up,1,0.75,mv,nm,3.6181,0.6237
1706155500000,1385,4,0,up,up,0.75,0.75,mv,nm,1.908,0.616
1706155800000,1390,4,0,dn,up,-1,0.25,mv,nm,2.5022,0.2959
1706156100000,1395,4,0,up,up,1,1.25,mv,mv,1.4971,1.6484
1706156400000,1400,4,0,up,up,0.25,0.25,nm,nm,0.3436,0.3696
