Strategy report
Symbol: /ES:XCME
Work Time: 10/7/24, 6:05 PM - 10/15/24, 12:10 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
74;_calendar_(1,728,349,200,000|1,260|2|0|dn|dn|-3|-8.25|mv|mv|2.3|3.021);Buy to Open;1;50.0;$5,750.00;10/7/24, 9:05 PM;;$7,287.50;0.0;
75;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,751.75;10/7/24, 9:10 PM;$187.50;$7,487.50;-50.0;
76;_calendar_(1,728,349,500,000|1,265|2|0|dn|dn|-1|-3.5|nm|mv|0.6084|1.2916);Buy to Open;1;50.0;$5,748.00;10/7/24, 9:10 PM;;$7,475.00;0.0;
77;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,750.50;10/7/24, 9:15 PM;$150.00;$7,825.00;-50.0;
78;_calendar_(1,728,349,800,000|1,270|2|0|dn|dn|-4.25|-2.5|mv|mv|2.7457|0.8563);Buy to Open;1;50.0;$5,747.50;10/7/24, 9:15 PM;;$7,625.00;0.0;
79;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.75;10/7/24, 9:20 PM;$325.00;$7,750.00;-50.0;
80;_calendar_(1,728,350,100,000|1,275|2|0|up|dn|1.75|-2.25|nm|nm|1.0826|0.6327);Buy to Open;1;50.0;$5,741.25;10/7/24, 9:20 PM;;$7,950.00;0.0;
81;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.75;10/7/24, 9:25 PM;$137.50;$7,975.00;-50.0;
82;_calendar_(1,728,350,400,000|1,280|2|0|dn|dn|0|-2.75|nm|mv|0|0.7794);Buy to Open;1;50.0;$5,743.00;10/7/24, 9:25 PM;;$8,087.50;0.0;
83;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.50;10/7/24, 9:30 PM;$125.00;$8,350.00;-50.0;
84;_calendar_(1,728,350,700,000|1,285|2|0|dn|dn|-4|-2.5|mv|mv|1.9451|0.7009);Buy to Open;1;50.0;$5,744.00;10/7/24, 9:30 PM;;$8,212.50;0.0;
85;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.75;10/7/24, 9:35 PM;$275.00;$8,375.00;-50.0;
86;_calendar_(1,728,351,000,000|1,290|2|0|up|up|1.25|6.5|nm|mv|0.571|1.8668);Buy to Open;1;50.0;$5,740.25;10/7/24, 9:35 PM;;$8,487.50;0.0;
87;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,744.50;10/7/24, 9:40 PM;$212.50;$8,575.00;-50.0;
88;_calendar_(1,728,351,300,000|1,295|2|0|up|up|0.25|3.75|nm|mv|0.1063|1.0991);Buy to Open;1;50.0;$5,740.25;10/7/24, 9:40 PM;;$8,700.00;0.0;
89;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,743.75;10/7/24, 9:45 PM;$125.00;$8,500.00;-50.0;
90;_calendar_(1,728,351,600,000|1,300|2|0|up|up|5|2.75|mv|mv|2.0826|1.0909);Buy to Open;1;50.0;$5,741.25;10/7/24, 9:45 PM;;$8,825.00;0.0;
91;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,748.25;10/7/24, 9:50 PM;$312.50;$8,925.00;-50.0;
92;_calendar_(1,728,351,900,000|1,305|2|0|dn|dn|-1.5|-3.75|nm|mv|0.5624|1.2792);Buy to Open;1;50.0;$5,742.00;10/7/24, 9:50 PM;;$9,137.50;0.0;
93;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,748.50;10/7/24, 9:55 PM;$150.00;$9,287.50;-50.0;
94;_calendar_(1,728,352,200,000|1,310|2|0|dn|dn|-0.75|-1.5|nm|nm|0.2748|0.4921);Buy to Open;1;50.0;$5,745.50;10/7/24, 9:55 PM;;$9,287.50;0.0;
95;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.75;10/7/24, 10:00 PM;$137.50;$9,425.00;-50.0;
96;_calendar_(1,728,352,500,000|1,315|2|0|dn|dn|-1.5|-3.5|nm|mv|0.5451|1.1023);Buy to Open;1;50.0;$5,744.00;10/7/24, 10:00 PM;;$9,425.00;0.0;
97;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.25;10/7/24, 10:05 PM;$125.00;$9,500.00;-50.0;
98;_calendar_(1,728,352,800,000|1,320|2|0|up|up|0.75|0.75|nm|nm|0.333|0.2362);Buy to Open;1;50.0;$5,743.75;10/7/24, 10:05 PM;;$9,550.00;0.0;
99;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.25;10/7/24, 10:10 PM;$175.00;$9,712.50;-50.0;
100;_calendar_(1,728,353,100,000|1,325|2|0|dn|dn|-2.75|-0.5|mv|nm|1.2331|0.1589);Buy to Open;1;50.0;$5,741.75;10/7/24, 10:10 PM;;$9,725.00;0.0;
101;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.75;10/7/24, 10:15 PM;$187.50;$9,775.00;-50.0;
102;_calendar_(1,728,353,400,000|1,330|2|0|up|up|2.75|1.25|mv|nm|1.0914|0.3926);Buy to Open;1;50.0;$5,742.00;10/7/24, 10:15 PM;;$9,912.50;0.0;
103;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,744.75;10/7/24, 10:20 PM;$187.50;$9,937.50;-50.0;
104;_calendar_(1,728,353,700,000|1,335|2|0|dn|dn|-0.5|-3.25|nm|mv|0.2791|1.0082);Buy to Open;1;50.0;$5,741.00;10/7/24, 10:20 PM;;$10,100.00;0.0;
105;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,746.00;10/7/24, 10:25 PM;$112.50;$10,237.50;-50.0;
106;_calendar_(1,728,354,000,000|1,340|2|0|dn|dn|-1|-0.75|nm|nm|0.576|0.2322);Buy to Open;1;50.0;$5,743.75;10/7/24, 10:25 PM;;$10,212.50;0.0;
107;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.50;10/7/24, 10:30 PM;$137.50;$10,412.50;-50.0;
108;_calendar_(1,728,354,300,000|1,345|2|0|dn|up|-1.75|3.25|nm|mv|1.0009|0.9976);Buy to Open;1;50.0;$5,742.75;10/7/24, 10:30 PM;;$10,350.00;0.0;
109;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,744.25;10/7/24, 10:35 PM;$150.00;$10,387.50;-50.0;
110;_calendar_(1,728,354,600,000|1,350|2|0|up|up|2|4|mv|mv|1.1251|1.2168);Buy to Open;1;50.0;$5,741.25;10/7/24, 10:35 PM;;$10,500.00;0.0;
111;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,745.75;10/7/24, 10:40 PM;$300.00;$10,462.50;-50.0;
112;_calendar_(1,728,354,900,000|1,355|2|0|up|up|3|3.75|mv|mv|1.5264|1.1454);Buy to Open;1;50.0;$5,739.75;10/7/24, 10:40 PM;;$10,800.00;0.0;
113;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.00;10/7/24, 10:45 PM;$212.50;$10,875.00;-50.0;
114;_calendar_(1,728,355,200,000|1,360|2|0|dn|up|-1|0.5|nm|nm|0.5283|0.1477);Buy to Open;1;50.0;$5,742.75;10/7/24, 10:45 PM;;$11,012.50;0.0;
115;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,747.75;10/7/24, 10:50 PM;$125.00;$11,037.50;-50.0;
116;_calendar_(1,728,355,500,000|1,365|2|0|up|up|1.75|1.5|mv|nm|1.0043|0.4899);Buy to Open;1;50.0;$5,745.25;10/7/24, 10:50 PM;;$11,137.50;0.0;
117;_calendar_(SellClose);Sell to Close;-1;-50.0;$5,749.25;10/7/24, 10:55 PM;$262.50;$11,250.00;-50.0;
