FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1729530900000,795,1,1,up,up,1.75,1.75,mv,nm,0.7379,0.5297
1729531200000,800,1,1,dn,up,-1,0.5,nm,nm,0.5657,0.1572
1729531500000,805,1,1,up,up,1,1.25,nm,nm,0.5466,0.4102
1729531800000,810,1,1,up,up,0.5,1.5,nm,nm,0.2693,0.4986
1729532100000,815,1,1,dn,up,-0.25,2.25,nm,nm,0.1467,0.7579
1729532400000,820,1,1,up,up,1.25,2.25,nm,nm,0.7733,0.8008
1729532700000,825,1,1,up,up,1.25,0.75,nm,nm,1.3457,0.2776
1729533000000,830,1,1,dn,dn,-0.25,-3.25,nm,nm,0.2996,1.2188
1729533300000,835,1,1,dn,dn,-0.25,-4.25,nm,mv,0.3906,1.5941
1729533600000,840,1,1,dn,dn,-2.75,-1.75,mv,nm,4.0853,0.6544
1729533900000,845,1,1,dn,dn,-1.25,-2.25,nm,nm,0.9357,0.8082
1729534200000,850,1,1,up,dn,2.25,-1.5,mv,nm,1.6107,0.4883
1729534500000,855,1,1,dn,dn,-3.25,-3.5,mv,mv,2.0086,1.122
1729534800000,860,1,1,dn,dn,-0.5,-1,nm,nm,0.275,0.3442
1729535100000,865,1,1,up,dn,0.25,-3,nm,nm,0.1385,1.1667
1729535400000,870,1,1,dn,dn,-0.75,-1.25,nm,nm,0.4061,0.536
1729535700000,875,1,1,dn,dn,-2.5,-2,mv,nm,1.5167,0.9135
1729536000000,880,1,1,up,dn,2,0,mv,nm,1.113,0
1729536300000,885,1,1,dn,dn,-1.5,-3.25,nm,mv,0.8678,1.5852
1729536600000,890,1,1,dn,up,-0.5,1.25,nm,nm,0.3554,0.6057
1729536900000,895,1,1,dn,up,-1.25,6.25,nm,mv,0.8885,3.0721
1729537200000,900,1,1,up,up,3,9,mv,mv,2.1669,4.4657
1729537500000,905,1,1,up,up,4.5,4.25,mv,mv,2.2875,2.0692
1729537800000,910,1,1,up,dn,1.5,-0.5,mv,nm,0.662,0.1921
1729538100000,915,1,1,dn,dn,-1.75,-6.5,mv,mv,0.7819,1.9114
1729538400000,920,1,1,dn,dn,-0.25,-5.5,nm,mv,0.1094,1.5658
1729538700000,925,1,1,dn,dn,-4.5,-4.5,mv,mv,1.9901,1.2994
1729539000000,930,1,1,dn,up,-0.75,3.75,nm,mv,0.2504,1.0066
1729539300000,935,1,1,up,up,0.75,6,nm,mv,0.2703,1.5611
1729539600000,940,1,1,up,up,3.75,12.25,mv,mv,1.9329,3.1768
1729539900000,945,1,0,up,up,1.5,8.25,mv,mv,0.6016,2.0675
1729540200000,950,1,0,up,up,7,7,mv,mv,2.7923,1.6521
1729540500000,955,1,0,dn,up,-0.25,0.75,nm,nm,0.0699,0.1478
1729540800000,960,1,0,up,up,0.25,0.75,nm,nm,0.0939,0.1428
1729541100000,965,1,0,up,up,0.75,2.25,nm,nm,0.2987,0.4187
1729541400000,970,1,0,dn,up,-0.25,1.5,nm,nm,0.0996,0.2853
1729541700000,975,1,0,up,up,1.75,2,mv,nm,0.6908,0.3839
1729542000000,980,1,0,dn,up,0,1.25,nm,nm,0,0.2444
1729542300000,985,1,0,up,up,0.25,1,nm,nm,0.3554,0.1965
1729542600000,990,1,0,up,up,1,0.5,nm,nm,1.5333,0.1019
1729542900000,995,1,0,dn,dn,-0.25,-1.5,nm,nm,0.3721,0.3058
1729543200000,1000,1,0,dn,dn,-0.25,-1.5,nm,nm,0.3419,0.31
1729543500000,1005,1,0,dn,dn,-1,-1.75,nm,nm,1.3675,0.3822
1729543800000,1010,1,0,dn,up,-0.25,1.25,nm,nm,0.415,0.2714
