Strategy report
Symbol: /ES:XCME
Work Time: 9/16/24, 3:05 PM - 9/20/24, 8:30 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
60;DATA(1,726,532,700,000|0|-14.7563|0|1|184|-1|-1.75|-3.75|1,225|1,707.0016|-75.4143|0.8052|12.1364|34.6053|-100|-1.25|in|in|in|in|in|dn);Buy to Open;1;50.0;$5,694.50;9/16/24, 5:30 PM;;$2,512.50;0.0;
61;DATA(SellClose);Sell to Close;-1;-50.0;$5,695.00;9/16/24, 5:35 PM;$100.00;$2,575.00;-50.0;
62;DATA(1,726,533,000,000|23.0769|9.324|0|0|342|-1.5|-2.25|-2.5|1,230|3,694.8198|-44.7212|1.72|13.9299|34.6053|-71.4286|-0.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,693.00;9/16/24, 5:35 PM;;$2,612.50;0.0;
63;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.50;9/16/24, 5:40 PM;$62.50;$2,700.00;-50.0;
64;DATA(1,726,533,300,000|11.5385|0|0|1|244|-1.75|-2.25|-3|1,235|2,547.1787|-51.3534|-2.5184|15.5741|31.1674|-85.7143|-1|in|in|in|in|in|in);Buy to Open;1;50.0;$5,693.25;9/16/24, 5:40 PM;;$2,675.00;0.0;
65;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.00;9/16/24, 5:45 PM;$75.00;$2,737.50;-50.0;
66;DATA(1,726,533,600,000|3.5714|-9.1575|0|1|313|-2|-2.75|-4.25|1,240|3,361.1468|-56.8282|-1.3429|17.6188|27.2322|-95.6522|-3.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.50;9/16/24, 5:45 PM;;$2,750.00;0.0;
67;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.25;9/16/24, 5:50 PM;$50.00;$2,762.50;-50.0;
68;DATA(1,726,533,900,000|6.8966|-0.4389|0|1|267|-1.75|-3.25|-4.5|1,245|2,929.4827|-35.1469|-3.1087|19.6635|27.2322|-91.6667|-3|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.25;9/16/24, 5:50 PM;;$2,800.00;0.0;
69;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.00;9/16/24, 5:55 PM;$50.00;$2,850.00;-50.0;
70;DATA(1,726,534,200,000|10.3448|3.4072|0|1|234|-0.75|-2.5|-3.75|1,250|2,522.0096|-14.5942|-3.0911|20.3469|29.8667|-87.5|-2.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,693.00;9/16/24, 5:55 PM;;$2,850.00;0.0;
71;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.50;9/16/24, 6:00 PM;$50.00;$2,837.50;-50.0;
72;DATA(1,726,534,500,000|11.1111|1.6603|0|1|226|0.5|-1.75|-3.25|1,255|2,372.9214|-4.5199|-2.8043|21.3829|29.8667|-87.5|0.5|in|in|in|dn|in|in);Buy to Open;1;50.0;$5,692.50;9/16/24, 6:00 PM;;$2,900.00;0.0;
73;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.00;9/16/24, 6:05 PM;$87.50;$2,937.50;-50.0;
74;DATA(1,726,534,800,000|25|9.5147|0|0|260|0.75|-0.75|-3|1,260|2,875.8959|28.0857|2.83|21.567|37.8945|-68.4211|-0.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.25;9/16/24, 6:05 PM;;$2,987.50;0.0;
75;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.75;9/16/24, 6:10 PM;$37.50;$3,025.00;-50.0;
76;DATA(1,726,535,100,000|16.6667|-0.9259|0|1|123|0|-0.5|-2.75|1,265|1,476.5211|15.4143|-5.2331|21.7358|34.9823|-76.4706|0.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,693.00;9/16/24, 6:10 PM;;$3,025.00;0.0;
77;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.50;9/16/24, 6:15 PM;$37.50;$3,087.50;-50.0;
78;DATA(1,726,535,400,000|12.5|-5.5556|0|1|226|0.25|0.5|-2.5|1,270|2,889.6569|12.0305|-5.0496|22.1423|33.5749|-82.3529|1.5|in|dn|in|in|in|in);Buy to Open;1;50.0;$5,692.75;9/16/24, 6:15 PM;;$3,062.50;0.0;
79;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.00;9/16/24, 6:20 PM;$125.00;$3,187.50;-50.0;
80;DATA(1,726,535,700,000|11.1111|-2.3148|0|1|345|-1.5|-0.75|-3.75|1,275|4,167.2255|-17.3468|6.0687|23.5999|29.6686|-85|0.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,691.50;9/16/24, 6:20 PM;;$3,187.50;0.0;
81;DATA(SellClose);Sell to Close;-1;-50.0;$5,692.25;9/16/24, 6:25 PM;$87.50;$3,262.50;-50.0;
82;DATA(1,726,536,000,000|12.9032|0.7318|0|1|613|-1.75|-1.75|-4|1,280|5,837.8207|-50.2509|1.7806|25.6105|26.327|-82.6087|-0.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,690.50;9/16/24, 6:25 PM;;$3,275.00;0.0;
83;DATA(SellClose);Sell to Close;-1;-50.0;$5,691.50;9/16/24, 6:30 PM;$50.00;$3,225.00;-50.0;
84;DATA(1,726,536,300,000|3.2258|-5.8542|0|1|349|-2.25|-2|-4|1,285|3,109.1416|-58.9872|-0.9772|27.4536|23.4462|-94.4444|-0.5|up|in|up|in|in|in);Buy to Open;1;50.0;$5,690.50;9/16/24, 6:30 PM;;$3,325.00;0.0;
85;DATA(SellClose);Sell to Close;-1;-50.0;$5,692.75;9/16/24, 6:35 PM;$100.00;$3,325.00;-50.0;
86;DATA(1,726,536,600,000|30.7692|15.1365|0|0|354|0.25|-1.25|-2|1,290|3,006.6994|38.704|6.9053|27.096|40.1237|-50|1|in|in|in|in|in|in);Buy to Open;1;50.0;$5,690.75;9/16/24, 6:35 PM;;$3,425.00;0.0;
87;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.00;9/16/24, 6:40 PM;$62.50;$3,350.00;-50.0;
88;DATA(1,726,536,900,000|37.5|13.6683|0|0|148|1.5|-0.5|-1|1,295|1,241.8851|59.5082|-0.5614|26.4088|42.0898|-35.7143|1.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,691.75;9/16/24, 6:40 PM;;$3,487.50;0.0;
89;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.75;9/16/24, 6:45 PM;$100.00;$3,550.00;-50.0;
90;DATA(1,726,537,200,000|66.6667|21.688|0|0|321|3.5|1.5|2|1,300|2,574.7384|144.1033|3.1271|24.7265|53.6996|-5.8824|4.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.75;9/16/24, 6:45 PM;;$3,587.50;0.0;
91;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.75;9/16/24, 6:50 PM;$100.00;$3,675.00;-50.0;
92;DATA(1,726,537,500,000|50|-1.3889|0|0|270|1|1.25|0.5|1,305|2,245.1372|86.0834|3.1271|23.1844|47.7341|-29.4118|4.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.75;9/16/24, 6:50 PM;;$3,687.50;0.0;
93;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.00;9/16/24, 6:55 PM;$87.50;$3,662.50;-50.0;
94;DATA(1,726,537,800,000|43.4783|-9.9034|0|0|231|0.25|1.75|-0.25|1,310|2,359.3601|59.8409|2.0606|21.3264|45.0069|-41.1765|4.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.25;9/16/24, 6:55 PM;;$3,775.00;0.0;
95;DATA(SellClose);Sell to Close;-1;-50.0;$5,695.00;9/16/24, 7:00 PM;$87.50;$3,812.50;-50.0;
96;DATA(1,726,538,100,000|88.8889|28.0998|0|0|224|0|3.5|1.75|1,315|2,472.7325|123.6144|0.6526|20.5465|53.6698|-11.1111|5.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,693.25;9/16/24, 7:00 PM;;$3,862.50;0.0;
97;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.75;9/16/24, 7:05 PM;$50.00;$3,950.00;-50.0;
98;DATA(1,726,538,400,000|83.3333|11.4332|0|0|152|0.75|1.75|0.5|1,320|1,929.6467|107.6911|-4.2005|19.8315|52.1754|-16.6667|2.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,693.75;9/16/24, 7:05 PM;;$3,912.50;0.0;
99;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.25;9/16/24, 7:10 PM;$75.00;$3,950.00;-50.0;
100;DATA(1,726,538,700,000|55.5556|-20.3704|0|0|151|-0.25|0.25|-0.25|1,325|1,911.9749|51.8966|-0.1811|18.4102|45.2961|-44.4444|0.75|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.75;9/16/24, 7:10 PM;;$3,987.50;0.0;
101;DATA(SellClose);Sell to Close;-1;-50.0;$5,693.75;9/16/24, 7:15 PM;$50.00;$4,000.00;-50.0;
102;DATA(1,726,539,000,000|66.6667|-1.8519|0|0|124|-1|-1|0.5|1,330|1,838.4917|72.5494|-3.1748|17.1073|48.2722|-33.3333|-1.25|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.75;9/16/24, 7:15 PM;;$4,037.50;0.0;
103;DATA(SellClose);Sell to Close;-1;-50.0;$5,694.00;9/16/24, 7:20 PM;$62.50;$4,125.00;-50.0;
104;DATA(1,726,539,300,000|66.6667|3.7037|0|0|274|-0.75|0|1.25|1,335|4,048.0996|68.1257|-1.3518|15.7733|48.2722|-33.3333|0.5|in|in|in|in|in|in);Buy to Open;1;50.0;$5,692.75;9/16/24, 7:20 PM;;$4,100.00;0.0;
