Strategy report
Symbol: /MES:XCME
Work Time: 3/2/25, 6:01 PM - 3/3/25, 10:26 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
60;dataCol_V6(5,981.5|5,978|5,978.75|396|1,740,958,140);Buy to Open;1;5.0;$5,978.00;3/2/25, 6:30 PM;;$397.50;0.0;
61;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,980.00;3/2/25, 6:31 PM;$16.25;$411.25;-5.0;
62;dataCol_V6(5,980|5,976.75|5,976.75|445|1,740,958,200);Buy to Open;1;5.0;$5,976.75;3/2/25, 6:31 PM;;$413.75;0.0;
63;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,977.75;3/2/25, 6:32 PM;$7.50;$412.50;-5.0;
64;dataCol_V6(5,977.75|5,976.25|5,977.25|441|1,740,958,260);Buy to Open;1;5.0;$5,976.25;3/2/25, 6:32 PM;;$421.25;0.0;
65;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.50;3/2/25, 6:33 PM;$8.75;$422.50;-5.0;
66;dataCol_V6(5,978.5|5,976.75|5,978|289|1,740,958,320);Buy to Open;1;5.0;$5,976.75;3/2/25, 6:33 PM;;$430.00;0.0;
67;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.50;3/2/25, 6:34 PM;$5.00;$433.75;-5.0;
68;dataCol_V6(5,978.5|5,977.5|5,978.25|308|1,740,958,380);Buy to Open;1;5.0;$5,977.50;3/2/25, 6:34 PM;;$435.00;0.0;
69;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.25;3/2/25, 6:35 PM;$5.00;$431.25;-5.0;
70;dataCol_V6(5,978.25|5,977.25|5,977.75|171|1,740,958,440);Buy to Open;1;5.0;$5,977.25;3/2/25, 6:35 PM;;$440.00;0.0;
71;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,979.75;3/2/25, 6:36 PM;$10.00;$446.25;-5.0;
72;dataCol_V6(5,979.75|5,977.75|5,979|528|1,740,958,500);Buy to Open;1;5.0;$5,977.75;3/2/25, 6:36 PM;;$450.00;0.0;
73;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,980.00;3/2/25, 6:37 PM;$10.00;$462.50;-5.0;
74;dataCol_V6(5,980|5,978|5,978.5|325|1,740,958,560);Buy to Open;1;5.0;$5,978.00;3/2/25, 6:37 PM;;$460.00;0.0;
75;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.75;3/2/25, 6:38 PM;$7.50;$470.00;-5.0;
76;dataCol_V6(5,978.75|5,977.25|5,977.5|303|1,740,958,620);Buy to Open;1;5.0;$5,977.25;3/2/25, 6:38 PM;;$467.50;0.0;
77;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,977.75;3/2/25, 6:39 PM;$7.50;$470.00;-5.0;
78;dataCol_V6(5,977.75|5,976.25|5,976.75|264|1,740,958,680);Buy to Open;1;5.0;$5,976.25;3/2/25, 6:39 PM;;$475.00;0.0;
79;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,977.75;3/2/25, 6:40 PM;$6.25;$483.75;-5.0;
80;dataCol_V6(5,977.75|5,976.5|5,977.25|283|1,740,958,740);Buy to Open;1;5.0;$5,976.50;3/2/25, 6:40 PM;;$481.25;0.0;
81;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.50;3/2/25, 6:41 PM;$13.75;$496.25;-5.0;
82;dataCol_V6(5,978.5|5,975.75|5,976|407|1,740,958,800);Buy to Open;1;5.0;$5,975.75;3/2/25, 6:41 PM;;$495.00;0.0;
83;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,976.00;3/2/25, 6:42 PM;$7.50;$498.75;-5.0;
84;dataCol_V6(5,976|5,974.5|5,975.5|737|1,740,958,860);Buy to Open;1;5.0;$5,974.50;3/2/25, 6:42 PM;;$502.50;0.0;
85;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,976.00;3/2/25, 6:43 PM;$6.25;$507.50;-5.0;
86;dataCol_V6(5,976|5,974.75|5,975.25|329|1,740,958,920);Buy to Open;1;5.0;$5,974.75;3/2/25, 6:43 PM;;$508.75;0.0;
87;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,975.50;3/2/25, 6:44 PM;$6.25;$507.50;-5.0;
88;dataCol_V6(5,975.5|5,974.25|5,975|171|1,740,958,980);Buy to Open;1;5.0;$5,974.25;3/2/25, 6:44 PM;;$515.00;0.0;
89;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,975.75;3/2/25, 6:45 PM;$7.50;$502.50;-5.0;
90;dataCol_V6(5,975.75|5,974.25|5,975.75|306|1,740,959,040);Buy to Open;1;5.0;$5,974.25;3/2/25, 6:45 PM;;$522.50;0.0;
91;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.25;3/2/25, 6:46 PM;$15.00;$533.75;-5.0;
92;dataCol_V6(5,978.25|5,975.25|5,978.25|658|1,740,959,100);Buy to Open;1;5.0;$5,975.25;3/2/25, 6:46 PM;;$537.50;0.0;
93;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,978.25;3/2/25, 6:47 PM;$11.25;$556.25;-5.0;
94;dataCol_V6(5,978.25|5,976|5,976|215|1,740,959,160);Buy to Open;1;5.0;$5,976.00;3/2/25, 6:47 PM;;$548.75;0.0;
95;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,976.50;3/2/25, 6:48 PM;$12.50;$560.00;-5.0;
96;dataCol_V6(5,976.5|5,974|5,974.5|567|1,740,959,220);Buy to Open;1;5.0;$5,974.00;3/2/25, 6:48 PM;;$561.25;0.0;
97;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,974.75;3/2/25, 6:49 PM;$6.25;$568.75;-5.0;
98;dataCol_V6(5,974.75|5,973.5|5,974.25|261|1,740,959,280);Buy to Open;1;5.0;$5,973.50;3/2/25, 6:49 PM;;$567.50;0.0;
99;dataCol_V6(SellClose);Sell to Close;-1;-5.0;$5,974.50;3/2/25, 6:50 PM;$13.75;$582.50;-5.0;
