FT,vel5,vel10,vel15,vel30,vel60,acc5,acc10,acc15,acc30,acc60,stoch12,stochDiff6012,RSIhl_diff,RSIhl_diffROC,vol,vol10,vol15,vol30,vol60,volD10,volD15,volD30,volD60,vpm5,vpm10,vpm15,vpm30,vpm60,ToD,DoW,MO,Dr3_Model,Dr3,Dc1,Dc3,Dr1,Mc1,Mc3,Mr1,Mr3
1728260100000,0.0043,-0.0086,-0.0201,-0.0158,-0.0136,0.0259,0.028,-0.0086,-0.0043,-0.0122,9.5238,-16.28,-0.0161,-0.6209,904.0,863.5,1016.3333,896.0,620.6667,4.6902,-11.0528,0.8929,45.6498,0.0003,-0.0006,-0.0011,-0.001,-0.0013,1215.0,1.0,0.0,0.031177849,-0.75,dn,dn,-0.75,nm,nm,0.7093,0.3206
1728260400000,-0.0129,-0.0043,-0.0101,-0.0194,-0.0111,-0.0173,0.028,0.0187,-0.0165,-0.009,2.7778,-18.0775,0.5996,0.6156,548.0,726.0,758.3333,947.8333,634.0833,-24.5179,-27.7363,-42.1839,-13.576,-0.0014,-0.0003,-0.0008,-0.0012,-0.001,1220.0,1.0,0.0,0.7565489,0.75,dn,up,0.0,nm,nm,0.0,0.3203
1728260700000,0.0,-0.0065,-0.0029,-0.0172,-0.0118,0.0129,0.0022,0.0287,-0.0108,-0.0072,2.7778,-16.562,1.8575,1.2579,414.0,481.0,622.0,935.8333,640.75,-13.9293,-33.4405,-55.7614,-35.3882,0.0,-0.0008,-0.0003,-0.0011,-0.0011,1225.0,1.0,0.0,1.1377543,1.75,dn,up,0.0,nm,nm,0.0,0.7491
1728261000000,0.0,0.0,-0.0043,-0.0122,-0.0122,0.0,0.0043,0.0158,-0.0,-0.014,5.5556,-15.5269,-2.1605,-4.0179,579.0,496.5,513.6667,765.0,664.3333,16.6163,12.719,-24.3137,-12.845,0.0,0.0,-0.0005,-0.0009,-0.0011,1230.0,1.0,0.0,2.743823,-0.25,up,dn,0.75,nm,nm,0.7886,0.121
1728261300000,0.0129,0.0065,0.0043,-0.0029,-0.0108,0.0129,0.0129,0.0144,0.0158,-0.0101,13.8889,-11.116,-1.4143,0.7462,455.0,517.0,482.6667,620.5,686.0,-11.9923,-5.732,-26.672,-33.6735,0.0016,0.0007,0.0005,-0.0003,-0.0009,1235.0,1.0,0.0,4.1039433,0.0,up,dn,1.0,nm,nm,1.524,0.0
1728261600000,0.0173,0.0151,0.0101,0.0036,-0.0083,0.0043,0.0151,0.0129,0.0237,-0.0061,26.4706,-6.7647,4.2957,5.71,360.0,407.5,464.6667,543.3333,694.3333,-11.6564,-22.5251,-33.7423,-48.1517,0.0028,0.0021,0.0013,0.0004,-0.0007,1240.0,1.0,0.0,4.41768,-0.25,dn,dn,-2.0,mv,nm,3.529,0.1399
1728261900000,-0.0345,-0.0086,-0.0014,-0.0029,-0.0093,-0.0517,-0.0151,0.0029,0.0129,-0.0065,5.7143,-14.9747,0.5483,-3.7474,418.0,389.0,411.0,462.3333,679.1667,7.455,1.7032,-9.589,-38.454,-0.0048,-0.0013,-0.0002,-0.0004,-0.0008,1245.0,1.0,0.0,2.732296,3.75,up,up,1.0,nm,mv,1.0035,2.0664
1728262200000,0.0173,-0.0086,0.0,0.0022,-0.0086,0.0518,-0.0237,-0.0043,0.0215,-0.0075,17.1429,-10.3734,5.6291,5.0808,338.0,378.0,372.0,427.3333,687.5833,-10.582,-9.1398,-20.9048,-50.8423,0.003,-0.0013,0.0,0.0003,-0.0007,1250.0,1.0,0.0,4.585506,2.0,up,up,0.75,nm,mv,0.7223,1.0926
1728262500000,0.0129,0.0151,-0.0014,0.0043,-0.0065,-0.0043,0.0237,-0.0115,0.0215,-0.0025,29.0323,-5.4024,1.5457,-4.0834,456.0,397.0,404.0,434.3333,685.0833,14.8615,12.8713,4.9885,-33.4388,0.0016,0.0022,-0.0002,0.0006,-0.0005,1255.0,1.0,0.0,8.1231,2.75,up,up,2.0,mv,mv,1.8856,1.5076
1728262800000,0.0345,0.0237,0.0216,0.0101,-0.0011,0.0216,0.0323,0.023,0.0223,0.0093,85.0,2.1643,-5.536,-7.0817,618.0,537.0,470.6667,440.8333,602.9167,15.0838,31.3031,40.189,2.5017,0.0032,0.0026,0.0027,0.0013,-0.0001,1260.0,1.0,0.0,8.978068,2.5,dn,up,-0.75,nm,mv,0.6096,1.1571
