FT,ToD,DoW,DIR,MOVE
1370,4,0,up,mv
1375,4,0,dn,mv
1380,4,0,dn,mv
1385,4,0,dn,mv
1390,4,0,dn,nm
1395,4,0,dn,mv
1400,4,0,dn,nm
1405,4,0,up,nm
1410,4,0,dn,mv
1415,4,0,dn,mv
1420,4,0,up,nm
1425,4,0,up,mv
1430,4,0,dn,nm
1435,4,0,up,mv
0,4,0,dn,nm
5,4,0,dn,nm
10,4,0,dn,nm
15,4,0,dn,nm
20,4,0,dn,mv
25,4,0,dn,mv
30,4,0,dn,mv
35,4,0,dn,nm
40,4,0,dn,mv
45,4,0,dn,nm
50,4,0,up,mv
55,4,0,up,mv
60,4,0,dn,mv
65,4,0,dn,mv
70,4,0,dn,nm
75,4,0,up,nm
80,4,0,dn,mv
85,4,0,up,mv
90,4,0,up,mv
95,4,0,dn,mv
100,4,0,dn,mv
105,4,0,up,mv
110,4,0,up,mv
115,4,0,up,nm
120,4,0,dn,nm
125,4,0,dn,mv
130,4,0,up,nm
135,4,0,dn,nm
140,4,0,up,mv
145,4,0,dn,mv
150,4,0,dn,mv
155,4,0,dn,nm
160,4,0,dn,mv
165,4,0,dn,mv
170,4,0,up,mv
175,4,0,dn,mv
180,4,0,up,mv
185,4,0,dn,mv
190,4,0,up,mv
195,4,0,dn,mv
200,4,0,dn,mv
205,4,0,up,mv
210,4,0,dn,nm
215,4,0,up,nm
220,4,0,up,nm
225,4,0,dn,mv
230,4,0,up,nm
235,4,0,up,nm
240,4,0,up,nm
245,4,0,dn,mv
250,4,0,dn,nm
255,4,0,up,mv
260,4,0,up,nm
265,4,0,dn,mv
270,4,0,up,mv
275,4,0,dn,nm
280,4,0,up,nm
285,4,0,up,nm
290,4,0,dn,mv
295,4,0,up,nm
300,4,0,dn,nm
305,4,0,up,mv
310,4,0,dn,mv
315,4,0,up,mv
320,4,0,dn,mv
325,4,0,dn,nm
330,4,0,dn,nm
335,4,0,dn,mv
340,4,0,up,nm
345,4,0,dn,nm
350,4,0,up,mv
355,4,0,dn,mv
360,4,0,dn,mv
365,4,0,dn,nm
370,4,0,dn,mv
375,4,0,up,mv
380,4,0,up,mv
385,4,0,dn,mv
390,4,0,up,mv
395,4,0,up,nm
400,4,0,up,nm
405,4,0,up,mv
410,4,0,dn,nm
415,4,0,up,mv
420,4,0,dn,nm
425,4,0,up,nm
430,4,0,dn,mv
435,4,0,dn,mv
440,4,0,up,nm
445,4,0,up,nm
450,4,0,dn,nm
455,4,0,up,mv
460,4,0,dn,mv
465,4,0,up,mv
470,4,0,dn,nm
475,4,0,dn,mv
480,4,0,dn,mv
485,4,0,up,nm
490,4,0,up,nm
495,4,0,up,mv
500,4,0,dn,mv
505,4,0,up,mv
510,4,0,up,mv
515,4,0,dn,nm
520,4,0,up,mv
525,4,1,dn,mv
530,4,1,up,mv
535,4,1,dn,mv
540,4,1,dn,nm
545,4,1,dn,mv
550,4,1,dn,mv
555,4,1,up,nm
560,4,1,up,mv
565,4,1,up,mv
570,4,1,dn,mv
575,4,1,dn,mv
580,4,1,up,mv
585,4,1,dn,mv
590,4,1,up,nm
595,4,1,up,mv
