fullK,fullD,diffKD,overBought,overSold,Volume,15mSD,30mSD
76.3636,67.2727,9.0909,0,0,817,-0.6227,0.0443
65.4545,73.3333,-7.8788,0,0,812,-0.2486,0.267
18.6047,53.4743,-34.8696,0,0,1213,1.3455,0.8033
34.2857,39.4483,-5.1626,0,0,938,0.6704,0.4919
34.2857,29.0587,5.227,0,0,902,0.6083,0.492
62.8571,43.8095,19.0476,0,0,1168,-0.2464,0
65.7143,54.2857,11.4286,0,0,1613,0,-0.0448
75.8621,68.1445,7.7176,0,0,1341,0.0627,0.0936
66.6667,69.4143,-2.7477,0,0,1118,0.2508,0.3509
88.4615,76.9968,11.4648,0,0,819,-0.0652,0.1113
88.4615,81.1966,7.265,1,0,985,0.0705,0.489
84.6154,87.1795,-2.5641,1,0,791,0.2144,-0.5134
84.6154,85.8974,-1.2821,1,0,979,0.2225,-0.3884
92.3077,87.1795,5.1282,1,0,848,0.5574,-0.5168
96.1538,91.0256,5.1282,1,0,1157,-0.9798,-0.3869
96.1538,94.8718,1.2821,1,0,1064,-0.8701,-0.1288
91.1765,94.4947,-3.3183,1,0,3230,-1.4676,-0.7656
41.1765,76.1689,-34.9925,0,0,2905,0.4869,0
47.0588,59.8039,-12.7451,0,0,2014,0.6982,-0.2084
47.0588,45.098,1.9608,0,0,1210,0.3049,0.3497
54.5455,49.5544,4.9911,0,0,1414,-0.5415,0.7683
60.7143,54.1062,6.6081,0,0,1928,-1.0748,0.5583
46.4286,53.8961,-7.4675,0,0,1114,0.2168,0.42
4.7619,37.3016,-32.5397,0,0,2040,1.6711,1.0643
8.6957,19.962,-11.2664,0,1,1503,1.794,1.2177
43.4783,18.9786,24.4997,0,0,1735,0.3998,0.8596
82.6087,44.9275,37.6812,0,0,2419,-0.1019,1.9634
76.9231,67.67,9.2531,0,0,1911,-0.1043,1.6645
53.8462,71.126,-17.2798,0,0,1611,0.8397,1.9764
69.2308,66.6667,2.5641,0,0,2339,2.9817,2.6133
73.0769,65.3846,7.6923,0,0,1581,2.4482,1.6815
